id,claim,citation,question,claim_answer,paper_answer,answer_note
1,NEUROD1 is also called NeuroD.,"(Lee et al., 1995)",Is NEUROD1 also called NeuroD?,Yes,Yes,
2,NEUROD1 is a basic helix–loop–helix transcription factor.,"(Lee et al., 1995)",Is NEUROD1 a basic helix–loop–helix transcription factor?,Yes,Idk,Passage calls NeuroD a bHLH protein but doesn't state it's a transcription factor.
3,"When ectopically expressed in Xenopus embryos, NEUROD1 can convert non-neuronal ectoderm into neurons that display neuronal morphology and marker expression.","(Lee et al., 1995)",Does ectopic NEUROD1 expression in Xenopus embryos convert non-neuronal ectoderm into neurons with neuronal morphology and markers?,Yes,Idk,Passage says NeuroD converts ectoderm/epidermal cells into neurons but no morphology/markers.
4,The conversion of non-neuronal ectoderm into neurons by ectopic NEUROD1 expression in Xenopus embryos demonstrates NEUROD1's capacity to drive neuronal differentiation in vivo.,"(Lee et al., 1995)",Does ectopic NEUROD1-driven conversion in Xenopus show NEUROD1 can drive neuronal differentiation in vivo?,Yes,Yes,
5,"In mice, NeuroD is required for normal differentiation of granule neurons in the cerebellum and hippocampus.","(Miyata et al., 1999)",Is NeuroD required for normal differentiation of cerebellar and hippocampal granule neurons in mice?,Yes,Yes,
6,NeuroD-null animals show severely reduced granule-cell differentiation.,"(Miyata et al., 1999)",Do NeuroD-null animals show severely reduced granule-cell differentiation?,Yes,Yes,
7,NeuroD-null animals show increased death of postmitotic granule cells.,"(Miyata et al., 1999)",Do NeuroD-null animals show increased death of postmitotic granule cells?,Yes,Yes,
8,Miyata et al. (1999) concluded that NeuroD regulates expression of differentiation genes needed for postmitotic granule-cell survival.,"(Miyata et al., 1999)",Did Miyata et al. (1999) conclude NeuroD regulates differentiation gene expression required for postmitotic granule-cell survival?,Yes,Yes,
9,"In the adult mouse brain, inducible, neural stem/progenitor-targeted deletion of Neurod1 results in substantially fewer adult-born neurons in the hippocampus and olfactory bulb.","(Gao et al., 2009)",Does inducible neural stem/progenitor-targeted Neurod1 deletion in adult mice reduce adult-born neurons in hippocampus and olfactory bulb?,Yes,Yes,
10,"Inducible, neural stem/progenitor-targeted deletion of Neurod1 in the adult mouse brain shows evidence of impaired survival or maturation of newborn neurons.","(Gao et al., 2009)",Does inducible neural stem/progenitor-targeted Neurod1 deletion show impaired survival or maturation of newborn neurons?,Yes,Yes,
11,"The findings from inducible, neural stem/progenitor-targeted deletion of Neurod1 in the adult mouse brain support a cell-intrinsic requirement for NeuroD1 during adult neurogenesis.","(Gao et al., 2009)",Do inducible neural stem/progenitor-targeted Neurod1 deletion findings support a cell-intrinsic NeuroD1 requirement during adult neurogenesis?,Yes,Yes,
12,In vivo gene delivery studies show that forced NEUROD1 expression in astrocytes can induce astrocyte-to-neuron conversion in the mouse brain under non-injury (non-reactive) conditions.,"(Brulet et al., 2017)",Do in vivo gene delivery studies show forced NEUROD1 expression in astrocytes induces astrocyte-to-neuron conversion in non-injury mouse brain?,Yes,Yes,
