id,claim,citation,question,claim_answer,paper_answer,answer_note
1,MYOD1 is a master transcription factor.,"(Hernández-Hernández et al., 2017)",Is MYOD1 a master transcription factor?,Yes,Yes,
2,MYOD1 serves as a primary determinant of skeletal muscle lineage specification.,"(Hernández-Hernández et al., 2017)",Does MYOD1 serve as a primary determinant of skeletal muscle lineage specification?,Yes,Yes,
3,MYOD1 serves as a primary determinant of skeletal muscle differentiation.,"(Hernández-Hernández et al., 2017)",Does MYOD1 serve as a primary determinant of skeletal muscle differentiation?,Yes,No,Myogenin and MRF4 mediate terminal differentiation; MyoD is a determination factor
4,MYOD1 is a basic helix-loop-helix (bHLH) protein.,"(Battistelli et al., 2022)",Is MYOD1 a basic helix-loop-helix (bHLH) protein?,Yes,Yes,
5,MYOD1 heterodimerizes with E-proteins.,"(Battistelli et al., 2022)",Does MYOD1 heterodimerize with E-proteins?,Yes,Yes,
6,The heterodimer of MYOD1 and E-proteins recognizes and binds E-box motifs (CANNTG) within the regulatory regions of muscle-specific genes.,"(Battistelli et al., 2022)",Does the MYOD1–E-protein heterodimer bind E-box motifs (CANNTG) in muscle gene regulatory regions?,Yes,Yes,
7,"The binding of MYOD1 to E-box motifs allows MYOD1 to reprogram diverse non-muscle somatic cells, such as fibroblasts, directly into the myogenic lineage.","(Battistelli et al., 2022)",Does MYOD1 binding to E-boxes reprogram fibroblasts into the myogenic lineage?,Yes,Yes,
8,"Beyond early specification, MYOD1 facilitates the assembly of active muscle enhancers by recruiting chromatin-remodeling enzymes and histone-modifying proteins.","(Blum & Dynlacht, 2013)",Does MYOD1 recruit chromatin-remodeling enzymes and histone-modifying proteins to assemble active muscle enhancers?,Yes,Yes,
9,MYOD1 establishes the epigenetic landscape necessary for myogenesis.,"(Blum & Dynlacht, 2013)",Does MYOD1 establish the epigenetic landscape necessary for myogenesis?,Yes,Yes,
10,"MYOD1 acts hierarchically with other myogenic regulatory factors, such as myogenin.","(Adhikari et al., 2021)",Does MYOD1 act hierarchically with other myogenic regulatory factors like myogenin?,Yes,Yes,
11,Myogenin is required for the subsequent assembly of the transcriptional machinery on differentiation-specific genes.,"(Adhikari et al., 2021)",Is myogenin required for assembly of the transcriptional machinery on differentiation-specific genes?,Yes,Yes,
12,MYOD1 functions as a clock amplifier in skeletal muscle.,"(Hodge et al., 2019)",Does MYOD1 function as a clock amplifier in skeletal muscle?,Yes,Yes,
13,MYOD1 synergistically interacts with core circadian factors like BMAL1 and CLOCK to regulate the amplitude of clock-controlled genes.,"(Hodge et al., 2019)",Does MYOD1 interact with BMAL1 and CLOCK to regulate amplitude of clock-controlled genes?,Yes,Yes,
14,MYOD1 orchestrates systemic energy homeostasis by mediating muscle-fat crosstalk through the secretion of the lipokine DLPC.,"(Hu et al., 2023)",Does MYOD1 mediate muscle–fat crosstalk by promoting secretion of the lipokine DLPC?,Yes,No,"MyoD knockout increased DLPC levels, so MyoD does not promote DLPC secretion."
