id,claim,question,claim_answer,evidence_answer,answer_note
1,APOE4 is described as the single greatest genetic risk factor for sporadic Alzheimer’s disease.,Is APOE4 described as the single greatest genetic risk factor for sporadic Alzheimer's disease?,Yes,,
2,"In human isogenic iPSC-derived neurons, APOE4 increases neuronal differentiation.",Does APOE4 increase neuronal differentiation in human isogenic iPSC-derived neurons?,Yes,,
3,APOE4 is the single greatest genetic risk factor for sporadic Alzheimer’s disease.,Is APOE4 the single greatest genetic risk factor for sporadic Alzheimer's disease?,Yes,,
4,APOE4 affected major brain cell types in CRISPR/Cas9-edited human iPSC models.,Did APOE4 affect major brain cell types in CRISPR/Cas9-edited human iPSC models?,Yes,,
5,"In human isogenic iPSC-derived neurons, APOE4 increases synapse number.",Does APOE4 increase synapse number in human isogenic iPSC-derived neurons?,Yes,,
6,"APOE4 was studied in CRISPR/Cas9-edited human iPSC-derived neurons, astrocytes, and microglia-like cells.","Was APOE4 studied in CRISPR/Cas9-edited human iPSC-derived neurons, astrocytes, and microglia-like cells?",Yes,,
7,APOE4 affected major brain cell types in isogenic lines created from APOE3 parental cells.,Did APOE4 affect major brain cell types in isogenic lines derived from APOE3 parental cells?,Yes,,
8,"In human isogenic iPSC-derived neurons, APOE4 increases mEPSC frequency.",Does APOE4 increase mEPSC frequency in human isogenic iPSC-derived neurons?,Yes,,
9,APOE4 neurons had increased synapse number versus isogenic APOE3 cells.,Did APOE4 neurons have increased synapse number versus isogenic APOE3 cells?,Yes,,
10,APOE4 neurons showed increased synapse number relative to isogenic APOE3 neurons.,Did APOE4 neurons show increased synapse number relative to isogenic APOE3 neurons?,Yes,,
11,"In human isogenic iPSC-derived neurons, APOE4 elevates Aβ42 secretion.",Does APOE4 elevate Aβ42 secretion in human isogenic iPSC-derived neurons?,Yes,,
12,APOE4 neurons had elevated Aβ42 secretion versus isogenic APOE3 cells.,Did APOE4 neurons have elevated Aβ42 secretion versus isogenic APOE3 cells?,Yes,,
13,APOE4 neurons showed elevated Aβ42 secretion relative to isogenic APOE3 neurons.,Did APOE4 neurons show elevated Aβ42 secretion relative to isogenic APOE3 neurons?,Yes,,
14,"In human isogenic iPSC-derived astrocytes, APOE4 reduces APOE mRNA.",Does APOE4 reduce APOE mRNA in human isogenic iPSC-derived astrocytes?,Yes,,
15,APOE4 astrocytes showed impaired Aβ uptake.,Did APOE4 astrocytes show impaired Aβ uptake?,Yes,,
16,APOE4 astrocytes displayed impaired Aβ uptake.,Did APOE4 astrocytes display impaired Aβ uptake?,Yes,,
17,"In human isogenic iPSC-derived astrocytes, APOE4 reduces APOE protein.",Does APOE4 reduce APOE protein in human isogenic iPSC-derived astrocytes?,Yes,,
18,APOE4 astrocytes showed cholesterol accumulation.,Did APOE4 astrocytes show cholesterol accumulation?,Yes,,
19,APOE4 astrocytes displayed cholesterol accumulation.,Did APOE4 astrocytes display cholesterol accumulation?,Yes,,
20,"In human isogenic iPSC-derived astrocytes, APOE4 reduces APOE secretion.",Does APOE4 reduce APOE secretion in human isogenic iPSC-derived astrocytes?,Yes,,
