id,claim,question,claim_answer,evidence_answer,answer_note
1,"In T-cell acute lymphoblastic leukemia (T-ALL), more than 50% of cases are associated with DNA alterations in NOTCH1 or in other genes that lead to enhanced activation of the NOTCH1 pathway.",Are more than 50% of T-ALL cases associated with DNA alterations enhancing NOTCH1 pathway activation?,Yes,,
2,NOTCH1 dimeric signaling is required for the leukemogenesis of human cord blood HSPCs.,Is NOTCH1 dimeric signaling required for leukemogenesis of human cord blood HSPCs?,Yes,,
3,The NOTCH1-ΔE variant lacks the extracellular domain.,Does the NOTCH1-ΔE variant lack the extracellular domain?,Yes,,
4,Constitutive expression of the NOTCH1-ΔE variant leads to overactive NOTCH1 signaling.,Does constitutive expression of NOTCH1-ΔE lead to overactive NOTCH1 signaling?,Yes,,
5,NOTCH1 dimeric signaling is required for the maintenance of human T-ALL.,Is NOTCH1 dimeric signaling required for maintenance of human T-ALL?,Yes,,
6,Constitutive expression of NOTCH1-ΔE leads to overactive NOTCH1 signaling.,Does constitutive expression of NOTCH1-ΔE lead to overactive NOTCH1 signaling?,Yes,,
7,Overactive NOTCH1 signaling enforces T-cell differentiation.,Does overactive NOTCH1 signaling enforce T-cell differentiation?,Yes,,
8,NOTCH1 dimers induce a dimerization-dependent transcriptional signature.,Do NOTCH1 dimers induce a dimerization-dependent transcriptional signature?,Yes,,
9,Overactive NOTCH1 signaling drives development of T-ALL–like disease.,Does overactive NOTCH1 signaling drive development of a T-ALL–like disease?,Yes,,
10,"In xenotransplant models in sublethally irradiated NSG mice using cord blood cells, cells expressing wild-type NOTCH1-ΔE generated T-ALL–like leukemias.",Did cord blood cells expressing wild-type NOTCH1-ΔE generate T-ALL–like leukemias in NSG xenotransplants?,Yes,,
11,The dimerization-dependent transcriptional signature induced by NOTCH1 dimers includes the transcription factor HES4.,Does the dimerization-dependent NOTCH1 transcriptional signature include the transcription factor HES4?,Yes,,
12,"Researchers transplanted cord blood hematopoietic stem and progenitor cells transduced with NOTCH1-ΔE or with the dimerization-defective NOTCH1-ΔE-R1984A, either alone or together with LMO2 or with LMO2-TAL1-BMI1, into sublethally irradiated NSG mice.","Did researchers transplant cord blood HSPCs transduced with NOTCH1-ΔE or NOTCH1-ΔE-R1984A, alone or with LMO2 or LMO2-TAL1-BMI1, into sublethally irradiated NSG mice?",Yes,,
13,"In xenotransplant models in sublethally irradiated NSG mice using cord blood cells, cells expressing the dimerization-defective NOTCH1-ΔE-R1984A did not generate T-ALL–like leukemias.",Did cord blood cells expressing NOTCH1-ΔE-R1984A fail to generate T-ALL–like leukemias in those xenotransplants?,Yes,,
14,"In the described transplantation experiments into sublethally irradiated NSG mice, only cells expressing NOTCH1-ΔE wild-type generated T-ALL–like leukemias.","In those transplant experiments, did only cells expressing wild-type NOTCH1-ΔE generate T-ALL–like leukemias?",Yes,,
15,NOTCH1 dimeric signaling was crucial for leukemogenesis of human hematopoietic stem/progenitor cells from cord blood in synthetic models of human T-ALL.,Was NOTCH1 dimeric signaling crucial for leukemogenesis of cord blood HSPCs in synthetic human T-ALL models?,Yes,,
16,"In the described transplantation experiments into sublethally irradiated NSG mice, the dimerization-defective NOTCH1-ΔE-R1984A mutant did not generate T-ALL–like leukemias.","In those transplant experiments, did the dimerization-defective NOTCH1-ΔE-R1984A fail to generate T-ALL–like leukemias?",Yes,,
17,The findings support targeting NOTCH1 dimer signaling or its downstream effectors.,Do the findings support targeting NOTCH1 dimer signaling or its downstream effectors?,Yes,,
18,NOTCH1 dimerization produced a gene signature that included HES4.,Did NOTCH1 dimerization produce a gene signature that included HES4?,Yes,,
19,The findings highlight NOTCH1 dimeric signaling as crucial for T-cell leukemogenesis.,Do the findings highlight NOTCH1 dimeric signaling as crucial for T-cell leukemogenesis?,Yes,,
20,The findings highlight NOTCH1 dimeric signaling as crucial for maintenance of T-cell leukemia.,Do the findings highlight NOTCH1 dimeric signaling as crucial for maintenance of T-cell leukemia?,Yes,,
