url,hash_id
https://doi.org/10.1002/path.4867,qQK1DlUA4IUTkrde
https://doi.org/10.1002/pbc.24532,JBLzWJLJLqXtwo5r
https://doi.org/10.1016/j.bbrc.2007.11.017,TRC2cEut7I2VUHcd
https://doi.org/10.1038/475,dOLox7vckL4zFh7D
https://doi.org/10.1038/ng1193-230,VpCu62eHctBiK0Xa
https://doi.org/10.1038/s41467-023-43044-1,MlbKY8AKO1vTVq-a
https://doi.org/10.1038/s41467-023-43780-4,GBJoX2IPeNln_bpG
https://doi.org/10.1038/s41467-024-45902-y,L-mxLWel0ODunEgs
https://doi.org/10.1101/2021.08.18.456823,GyMSvzFDMmcC5Oxg
https://doi.org/10.1128/MCB.15.3.1522,2AKjawejM7ovQMO6
https://doi.org/10.1158/0008-5472.CAN-10-0582,SzN0bw8gFHS35xXr
https://doi.org/10.1158/0008-5472.can-25-0315,4x-VfHhQO_vLMq4A
https://doi.org/10.1158/2159-8290.CD-16-1297,MPWtX3gHbKg87mog
https://doi.org/10.1172/JCI67087,rqA5cotL9V09WCOL
https://doi.org/10.1200/JCO.2002.03.137,s_3bLPygOYbT_EqL
https://doi.org/10.1371/journal.pone.0121474,4jYyPxLZuAoXqjlG
https://doi.org/10.1517/14728222.2013.772136,toTuPHEMNQurdxCb
https://doi.org/10.18632/oncotarget.19693,xFsmd5H3tBzT8bXp
https://doi.org/10.3390/molecules23112798,B5D0t8N_i1yKBHHo
https://doi.org/10.3390/ph16020199,FCOCl8NZw6Ecm4VE
https://doi.org/10.4161/cc.11.5.19346,3FZ8qZp2q70Nap_E
