id,claim,citation,question,claim_answer,paper_answer,answer_note
1,FOXA1 has been experimentally shown to shape androgen receptor (AR) chromatin binding in prostate cancer models.,"(Sahu et al., 2011);(Jin et al., 2014)",Has FOXA1 been experimentally shown to shape AR chromatin binding in prostate cancer models?,Yes,Yes,
2,"In LNCaP-derived cells, FOXA1 depletion caused extensive redistribution of AR chromatin-binding sites.","(Sahu et al., 2011)",Did FOXA1 depletion cause extensive redistribution of AR chromatin-binding sites in LNCaP-derived cells?,Yes,Yes,
3,"In LNCaP-derived cells, FOXA1 depletion caused changes in androgen-responsive gene expression programs.","(Sahu et al., 2011)",Did FOXA1 depletion alter androgen-responsive gene expression programs in LNCaP-derived cells?,Yes,Yes,
4,Mechanistic analyses in prostate cancer cells showed FOXA1 can open local chromatin.,"(Jin et al., 2014)",Can FOXA1 open local chromatin in prostate cancer cells?,Yes,Yes,
5,Mechanistic analyses in prostate cancer cells showed FOXA1 can facilitate AR recruitment at low-affinity sites.,"(Jin et al., 2014)",Can FOXA1 facilitate AR recruitment at low-affinity sites in prostate cancer cells?,Yes,Yes,
6,FOXA1 downregulation enabled widespread AR binding and AR target gene expression even under androgen-deprived conditions.,"(Jin et al., 2014)",Does FOXA1 downregulation enable widespread AR binding and AR target gene expression under androgen deprivation?,Yes,Yes,
7,FOXA1 was reported to have an AR-independent metastasis-suppressive function.,"(Jin et al., 2013)",Was FOXA1 reported to have an AR-independent metastasis-suppressive function?,Yes,Yes,
8,"In prostate cancer cell models, FOXA1 limited invasion and motility through regulation of genes linked to cell migration and epithelial–mesenchymal transition.","(Jin et al., 2013)",Did FOXA1 limit invasion and motility by regulating genes linked to migration and EMT in prostate cancer cell models?,Yes,Yes,
9,"In prostate cancer cell models, perturbing FOXA1 increased invasive phenotypes.","(Jin et al., 2013)",Did perturbing FOXA1 increase invasive phenotypes in prostate cancer cell models?,Yes,Yes,
10,Clinically oriented tissue analyses reported that FOXA1 nuclear expression was associated with prostate cancer progression.,"(Gerhardt et al., 2012)",Was FOXA1 nuclear expression associated with prostate cancer progression in clinical tissue analyses?,Yes,Yes,
11,Clinically oriented tissue analyses reported that FOXA1 expression patterns characterized castration-resistant prostate cancer in patient samples.,"(Gerhardt et al., 2012)",Did FOXA1 expression patterns characterize castration-resistant prostate cancer in patient samples?,Yes,Yes,
12,"In castration-resistant prostate cancer models, FOXA1 loss derepressed TGF-β pathway output including TGFB3.","(Song et al., 2019)","Did FOXA1 loss derepress TGF-β pathway output, including TGFB3, in castration-resistant prostate cancer models?",Yes,Yes,
13,"In castration-resistant prostate cancer models, pharmacologic TGF-β pathway inhibition suppressed progression in the preclinical settings described in that study.","(Song et al., 2019)",Did pharmacologic TGF-β pathway inhibition suppress progression in those castration-resistant prostate cancer preclinical models?,Yes,Yes,
