id,claim,question,claim_answer,evidence_answer,answer_note
1,"In ER+ breast cancer, ESR1 amplifications occur.",Do ESR1 amplifications occur in ER+ breast cancer?,Yes,,
2,ESR1 encodes ERα.,Does ESR1 encode ERα?,Yes,,
3,"In ER+ metastatic breast cancer resistant to endocrine therapy, ESR1 fusions retain the N-terminal ER DNA-binding domain.",Do ESR1 fusions retain the N-terminal ER DNA-binding domain in ER+ metastatic breast cancer resistant to endocrine therapy?,Yes,,
4,"In ER+ breast cancer, ESR1 in‑frame fusions occur.",Do ESR1 in-frame fusions occur in ER+ breast cancer?,Yes,,
5,"In ER+ breast cancer, ESR1 is required for estrogen-driven proliferation.",Is ESR1 required for estrogen-driven proliferation in ER+ breast cancer?,Yes,,
6,"In ER+ metastatic breast cancer resistant to endocrine therapy, ESR1 fusions exclude the ligand-binding domain by fusing diverse C-terminal partners.",Do ESR1 fusions exclude the ligand-binding domain by fusing diverse C-terminal partners in ER+ metastatic breast cancer resistant to endocrine therapy?,Yes,,
7,ESR1 fusions have been reported in at least 1% of metastatic tumors.,Have ESR1 fusions been reported in at least 1% of metastatic tumors?,Yes,,
8,"In ER+ breast cancer, ESR1 is a focal target of endocrine therapy.",Is ESR1 a focal target of endocrine therapy in ER+ breast cancer?,Yes,,
9,ESR1 fusion proteins drive estrogen-independent ER transcriptional activity.,Do ESR1 fusion proteins drive estrogen-independent ER transcriptional activity?,Yes,,
10,ESR1 fusions often occur in endocrine‑resistant disease.,Do ESR1 fusions often occur in endocrine-resistant disease?,Yes,,
11,"In metastatic ER+ tumors, acquired somatic alterations in ESR1 commonly arise after long-term aromatase inhibitor or tamoxifen treatment.",Do acquired somatic ESR1 alterations commonly arise after long-term aromatase inhibitor or tamoxifen treatment in metastatic ER+ tumors?,Yes,,
12,"ESR1 fusion proteins promote proliferation, motility, and metastasis.","Do ESR1 fusion proteins promote proliferation, motility, and metastasis?",Yes,,
13,Most ESR1 fusions retain the N‑terminal DNA‑binding domain.,Do most ESR1 fusions retain the N-terminal DNA-binding domain?,Yes,,
14,"Point mutations in the ESR1 ligand-binding domain, notably at Y537 and D538, stabilize helix 12 in an active conformation.",Do point mutations at Y537 and D538 in the ESR1 ligand-binding domain stabilize helix 12 in an active conformation?,Yes,,
15,Breast cancer cells and a patient-derived xenograft (PDX) with ESR1 fusions remained sensitive to CDK4/6 inhibition.,Did breast cancer cells and a patient-derived xenograft with ESR1 fusions remain sensitive to CDK4/6 inhibition?,Yes,,
16,Most ESR1 fusions exclude the ligand‑binding domain.,Do most ESR1 fusions exclude the ligand-binding domain?,Yes,,
17,"ESR1 in-frame fusions that retain the N-terminal DNA-binding domain but lack the ligand-binding domain drive estrogen-independent ER transcription, proliferation, motility, and metastasis.",Do ESR1 in-frame fusions retaining the N-terminal DNA-binding domain but lacking the ligand-binding domain drive estrogen-independent ER signaling?,Yes,,
18,The authors suggest that adjuvant CDK4/6 inhibition may prevent acquisition of ESR1 fusions.,Did the authors suggest that adjuvant CDK4/6 inhibition may prevent acquisition of ESR1 fusions?,Yes,,
19,ESR1 fusion proteins drive estrogen‑independent ER transcriptional activity.,Do ESR1 fusion proteins drive estrogen-independent ER transcriptional activity?,Yes,,
20,Tumors driven by ESR1 in-frame fusions remained sensitive to CDK4/6 inhibition.,Are tumors driven by ESR1 in-frame fusions sensitive to CDK4/6 inhibition?,Yes,,
