id,claim,citation,question,claim_answer,paper_answer,answer_note
1,FOXR2 has been functionally implicated in neuroblastoma through clinical association and mechanistic studies.,"(Schmitt-Hoffner et al., 2021)",Has FOXR2 been functionally implicated in neuroblastoma through clinical association and mechanistic studies?,Yes,Yes,
2,FOXR2 can act upstream of MYCN protein abundance.,"(Schmitt-Hoffner et al., 2021)",Can FOXR2 act upstream of MYCN protein abundance?,Yes,Yes,
3,"In a cohort study of primary neuroblastoma tumors, FOXR2 expression identified a subset of non–MYCN-amplified neuroblastomas with unfavorable outcome.","(Schmitt-Hoffner et al., 2021)",Did FOXR2 expression identify a subset of non–MYCN-amplified neuroblastomas with unfavorable outcome in a cohort study?,Yes,Yes,
4,"In a cohort study of primary neuroblastoma tumors, FOXR2 expression was reported as an independent prognostic factor relative to established risk variables.","(Schmitt-Hoffner et al., 2021)",Was FOXR2 expression reported as an independent prognostic factor relative to established risk variables?,Yes,Yes,
5,FOXR2 was shown to bind MYCN.,"(Schmitt-Hoffner et al., 2021)",Was FOXR2 shown to bind MYCN?,Yes,Yes,
6,FOXR2 was shown to increase/stabilize MYCN protein levels.,"(Schmitt-Hoffner et al., 2021)",Was FOXR2 shown to increase or stabilize MYCN protein levels?,Yes,Yes,
7,FOXR2-mediated increase/stabilization of MYCN protein provides an alternative route to high MYCN protein without MYCN gene amplification.,"(Schmitt-Hoffner et al., 2021)",Does FOXR2-mediated stabilization of MYCN provide an alternative route to high MYCN protein without gene amplification?,Yes,Yes,
8,Functional perturbation experiments in FOXR2-expressing neuroblastoma models reported that reducing FOXR2 led to decreased MYCN protein.,"(Schmitt-Hoffner et al., 2021)",Did reducing FOXR2 in FOXR2-expressing neuroblastoma models lead to decreased MYCN protein in perturbation experiments?,Yes,Yes,
9,"Functional perturbation experiments in FOXR2-expressing neuroblastoma models reported that reducing FOXR2 led to impaired tumor-cell growth phenotypes (e.g., growth inhibition/cell-cycle effects).","(Schmitt-Hoffner et al., 2021)",Did reducing FOXR2 in FOXR2-expressing neuroblastoma models impair tumor-cell growth phenotypes?,Yes,Yes,
10,The functional perturbation experiments were reported as supporting a dependency of the FOXR2-expressing neuroblastoma subgroup on FOXR2–MYCN regulation.,"(Schmitt-Hoffner et al., 2021)",Did the functional perturbation experiments support a dependency of FOXR2-expressing neuroblastoma on FOXR2–MYCN regulation?,Yes,Yes,
11,Pediatric central nervous system neuroblastoma with FOXR2 activation has been described as a distinct molecular entity emerging from tumors previously classified as CNS-PNET.,"(Korshunov et al., 2021)",Has pediatric CNS neuroblastoma with FOXR2 activation been described as a distinct entity from tumors previously classified as CNS-PNET?,Yes,Yes,
12,FOXR2 activation was used as a defining molecular feature in the diagnostic context of pediatric central nervous system neuroblastoma with FOXR2 activation.,"(Korshunov et al., 2021)",Was FOXR2 activation used as a defining molecular feature in diagnosing pediatric CNS neuroblastoma with FOXR2 activation?,Yes,Yes,
