id,claim,citation,question,claim_answer,paper_answer,answer_note
1,CEBPA promotes granulocytic lineage specification.,[1];[2];[3],Does CEBPA promote granulocytic lineage specification?,Yes,Yes,
2,CEBPA promotes neutrophil differentiation.,[1];[2];[3],Does CEBPA promote neutrophil differentiation?,Yes,Yes,
3,CEBPA regulates myeloid differentiation.,[2];[3];[4],Does CEBPA regulate myeloid differentiation?,Yes,Yes,
4,"When CEBPA is mutated or repressed, CEBPA contributes to differentiation arrest in acute myeloid leukemia (AML).",[2];[3];[4],"When mutated or repressed, does CEBPA contribute to differentiation arrest in AML?",Yes,Yes,
5,C/EBPα is required for generation of Ly6G+ neutrophils in cultured cKithi bone marrow progenitors when Notch signaling is absent.,[1],Is C/EBPα required for Ly6G+ neutrophil generation from cKithi bone marrow progenitors without Notch signaling?,Yes,Yes,
6,C/EBPα is required for generation of Ly6Chi monocytes in cultured cKithi bone marrow progenitors when Notch signaling is absent.,[1],Is C/EBPα required for Ly6Chi monocyte generation from cKithi bone marrow progenitors without Notch signaling?,Yes,Yes,
7,C/EBPα maintains Ly6Chi monocyte identity by halting progression to Ly6Clo monocytes.,[1],Does C/EBPα maintain Ly6Chi monocyte identity by preventing progression to Ly6Clo monocytes?,Yes,Yes,
8,CEBPA activates HK3 during neutrophil differentiation.,[2],Does CEBPA activate HK3 during neutrophil differentiation?,Yes,Yes,
9,CEBPA activates KLF5 during neutrophil differentiation.,[2],Does CEBPA activate KLF5 during neutrophil differentiation?,Yes,Yes,
10,CEBPA directly regulates HK3.,[2],Does CEBPA directly regulate HK3?,Yes,Yes,
11,CEBPA indirectly regulates KLF5.,[2],Does CEBPA indirectly regulate KLF5?,Yes,Yes,
12,C/EBPα is required for formation of granulocyte-monocyte progenitors from common myeloid progenitors.,[3],Is C/EBPα required to form granulocyte-monocyte progenitors from common myeloid progenitors?,Yes,Yes,
13,HoxA9 directly binds the +8 kb enhancer.,[3],Does HoxA9 directly bind the +8 kb enhancer?,Yes,Yes,
14,HoxA9 inhibits the +8 kb enhancer.,[3],Does HoxA9 inhibit the +8 kb enhancer?,Yes,Yes,
15,HoxA9 represses Cebpa expression.,[3],Does HoxA9 repress Cebpa expression?,Yes,Yes,
16,HoxA9 impairs myeloid differentiation in normal HSPCs.,[3],Does HoxA9 impair myeloid differentiation in normal HSPCs?,Yes,Yes,
17,HoxA9 impairs myeloid differentiation in poor-risk AML.,[3],Does HoxA9 impair myeloid differentiation in poor-risk AML?,Yes,Yes,
18,CEBPA was upregulated in hematopoietic stem and progenitor cells (HSPCs) exposed to supernatants from activated CAR-T cells.,[5],Was CEBPA upregulated in HSPCs exposed to supernatants from activated CAR-T cells?,Yes,Yes,
19,"In hematopoietic stem and progenitor cells (HSPCs) exposed to supernatants from activated CAR-T cells, the activity of regulons involved in neutrophil maturation decreased.",[5],Did regulon activity for neutrophil maturation decrease in HSPCs exposed to activated CAR-T supernatants?,Yes,Yes,
20,"In one relapse case with biallelic CEBPA mutation, there was expansion of maturing neutrophilic granulopoiesis.",[4],"In the relapse case with biallelic CEBPA mutation, was there expansion of maturing neutrophilic granulopoiesis?",Yes,Yes,
21,The expansion of maturing neutrophilic granulopoiesis in the relapse case with biallelic CEBPA mutation was associated with an increased myeloid-erythroid ratio.,[4],Was that expansion associated with an increased myeloid-erythroid ratio?,Yes,Yes,
22,The expansion of maturing neutrophilic granulopoiesis in the relapse case with biallelic CEBPA mutation was associated with near-100% bone marrow cellularity.,[4],Was that expansion associated with near-100% bone marrow cellularity?,Yes,Yes,
23,The expansion of maturing neutrophilic granulopoiesis in the relapse case with biallelic CEBPA mutation was associated with approximately 10% blasts.,[4],Was that expansion associated with approximately 10% blasts?,Yes,Yes,
