id,claim,question,claim_answer,evidence_answer,answer_note
1,PAX5 deacetylation at K198 rescued defective B cell development in Sirt7−/− pro-B cells transplanted into sublethally irradiated mice.,Did PAX5 deacetylation at K198 rescue defective B cell development in Sirt7-/- pro-B cells transplanted into sublethally irradiated mice?,Yes,,
2,"In B cell progenitors, Pax5 specifies B cell identity.",Does Pax5 specify B cell identity in B cell progenitors?,Yes,,
3,"In CD45.2 Sirt7−/− pro-B cells transplanted into sublethally irradiated CD45.1/CD45.2 mice, Pax5 deacetylation at K198 was required for B cell development.",Was Pax5 deacetylation at K198 required for B cell development in transplanted Sirt7−/− pro-B cells?,Yes,,
4,Expression of a deacetylation-mimic Pax5 K198R restored repression of a subset of genes upregulated in Sirt7−/− pro-B cells.,Did expression of a deacetylation-mimic Pax5 K198R restore repression of a subset of genes upregulated in Sirt7-/- pro-B cells?,Yes,,
5,"In B cell progenitors, Pax5 mediates lineage commitment.",Does Pax5 mediate lineage commitment in B cell progenitors?,Yes,,
6,Expression of Pax5 K198R or Pax5 wild-type in Sirt7−/− pro-B cells reversed the reduction in splenic B220+ CD19+ GFP+ B cells.,Did expressing Pax5 K198R or wild-type restore splenic B220+ CD19+ GFP+ B cells in Sirt7−/− pro-B cells?,Yes,,
7,Expression of Pax5 WT restored repression of a subset of genes upregulated in Sirt7−/− pro-B cells to a lesser extent than expression of Pax5 K198R.,Did expression of Pax5 WT restore repression of a subset of genes upregulated in Sirt7-/- pro-B cells to a lesser extent than Pax5 K198R?,Yes,,
8,SIRT7 directly deacetylates Pax5 at K198.,Does SIRT7 directly deacetylate Pax5 at K198?,Yes,,
9,"Expression of Pax5 K198R or Pax5 wild-type in Sirt7−/− pro-B cells restored repression of 93 upregulated genes, including Cxcr5 and Tet1.",Did Pax5 K198R or wild-type expression restore repression of 93 upregulated genes including Cxcr5 and Tet1?,Yes,,
10,The subset of genes upregulated in Sirt7−/− pro-B cells that were repressed by Pax5 K198R included Cxcr5 and Tet1.,Did the subset of genes upregulated in Sirt7-/- pro-B cells that were repressed by Pax5 K198R include Cxcr5 and Tet1?,Yes,,
11,SIRT7-mediated deacetylation of Pax5 at K198 prevents Pax5 proteasomal degradation.,Does SIRT7-mediated deacetylation of Pax5 at K198 prevent Pax5 proteasomal degradation?,Yes,,
12,"In Sirt7−/− pro-B cells expressing Pax5 wild-type, Pax5 wild-type mainly repressed lineage-inappropriate genes.",Did Pax5 wild-type mainly repress lineage-inappropriate genes in Sirt7−/− pro-B cells expressing it?,Yes,,
13,"In mice transplanted with Sirt7−/− pro-B cells and sublethally irradiated, restoring Pax5 deacetylation rescued splenic B220+ CD19+ GFP+ B cell numbers.","In mice transplanted with Sirt7-/- pro-B cells and sublethally irradiated, did restoring Pax5 deacetylation rescue splenic B220+ CD19+ GFP+ B cell numbers?",Yes,,
14,SIRT7-mediated deacetylation of Pax5 at K198 increases Pax5 chromatin occupancy.,Does SIRT7-mediated deacetylation of Pax5 at K198 increase Pax5 chromatin occupancy?,Yes,,
15,The results indicated that dynamic acetylation and deacetylation of Pax5 were required for B cell development.,Did the results indicate that dynamic acetylation and deacetylation of Pax5 are required for B cell development?,Yes,,
16,Pax5 deacetylation was necessary to restrict lineage plasticity in Sirt7−/− pro-B cells transplanted into sublethally irradiated mice.,Was Pax5 deacetylation necessary to restrict lineage plasticity in Sirt7-/- pro-B cells transplanted into sublethally irradiated mice?,Yes,,
17,SIRT7-mediated deacetylation of Pax5 at K198 enhances Pax5 transcriptional activity.,Does SIRT7-mediated deacetylation of Pax5 at K198 enhance Pax5 transcriptional activity?,Yes,,
18,The results indicated that Pax5 deacetylation was necessary to restrict lineage plasticity.,Did the results indicate that Pax5 deacetylation was necessary to restrict lineage plasticity?,Yes,,
19,"In Pax5−/− pro-B cells, expression of a constitutively deacetylated Pax5 K198R mutant abrogated T cell potential.","In Pax5-/- pro-B cells, did expression of a constitutively deacetylated Pax5 K198R mutant abrogate T cell potential?",Yes,,
20,SIRT7-mediated deacetylation of Pax5 at K198 especially enhances Pax5 repressive activity.,Does SIRT7-mediated deacetylation of Pax5 at K198 particularly enhance Pax5's repressive activity?,Yes,,
