url,hash_id
https://doi.org/10.1002/mco2.70137,-7pCOI01i3QKZmI0
https://doi.org/10.1016/j.molcel.2011.11.031,OBbVktRpWnSYhOyP
https://doi.org/10.1038/s41420-023-01416-y,nxqxIN-0wDuaLK1U
https://doi.org/10.1038/s41467-018-07810-w,j6GmMlA1BwRnV_pZ
https://doi.org/10.1038/s41467-025-60958-0,WI5Abu280Co2E5Ye
https://doi.org/10.1038/sj.onc.1207067,8WJ8qu_BLV67PRZL
https://doi.org/10.1038/sj.onc.1210022,tvHada9dJGrzumTL
https://doi.org/10.1093/carcin/bgi243,H1Ji4yvAx6Isakpo
https://doi.org/10.1128/MCB.00063-09,3xwJSGu8e9lwVBcK
https://doi.org/10.1128/mcb.00063-09,dTqI94Uv104GuHG4
https://doi.org/10.1158/0008-5472.CAN-07-1302,VcubjqoH_HcF46-w
https://doi.org/10.1158/1055-9965.EPI-10-0677,ToDh0CPqBgXJDfjP
https://doi.org/10.1158/1541-7786.MCR-18-0399,owYCLV1bKMEuuuG1
https://doi.org/10.1158/1541-7786.mcr-15-0410,TPts7TymoKXwj9-5
https://doi.org/10.20517/2394-4722.2019.35,Dhmc-SdRJXq2mzNg
https://doi.org/10.3892/or.2017.5736,IkGNMHLliYcrW22n
https://doi.org/10.5009/gnl.2011.5.2.154,zMIs7unQhM9PdhIA
https://doi.org/10.7150/thno.76619,FWyZQbjivFKbSQfa
