in_text_citation,reference,url,real_reference,real_url,alternative_url,hash_id
[1],"- [1] Hongjian Jin, Jonathan C. Zhao, Irene M. Ogden, R. Bergan, Jindan Yu. Androgen receptor-independent function of FoxA1 in prostate cancer metastasis. n.d.. Citations: 137. https://www.semanticscholar.org/paper/ab2047cd4a2ee28132dcf3eb24175822679b4e96",https://www.semanticscholar.org/paper/ab2047cd4a2ee28132dcf3eb24175822679b4e96,true,true,,G8gtXZ_c2csvNqYL
[2],"- [2] Yongxin Wu, Shengmeng Peng, Bisheng Cheng, Haitao Zhong, Meifeng Cen, Jianhan Fu et al.. FOXA1-dependent PUS1 regulates EIF3b stability in a non-enzymatic pathway mediating prostate cancer bone metastasis. n.d.. Citations: 12. https://www.semanticscholar.org/paper/115d441077cda384998173803b0c54855c2dcf74",https://www.semanticscholar.org/paper/115d441077cda384998173803b0c54855c2dcf74,true,true,,Ja6vbob3Ewt9Oi9E
[4],"- [4] M. Del Giudice, J. G. Foster, Serena Peirone, Alberto Rissone, L. Caizzi, Federica Gaudino et al.. FOXA1 regulates alternative splicing in prostate cancer. n.d.. Citations: 33. https://www.semanticscholar.org/paper/b8ed3033931fc23363857ee0923416b7bc7d9a9e",https://www.semanticscholar.org/paper/b8ed3033931fc23363857ee0923416b7bc7d9a9e,true,true,,GjbGnArXXnudqcd9
[6],"- [6] Laura Helminen, Jasmin Huttunen, Niina Aaltonen, E. Niskanen, J. Palvimo, Ville Paakinaho. Chromatin accessibility and pioneer factor FOXA1 restrict glucocorticoid receptor action in prostate cancer. n.d.. Citations: 17. https://www.semanticscholar.org/paper/7687b9c0338faf3f35bb7c4d3a198d8cde6f6efd",https://www.semanticscholar.org/paper/7687b9c0338faf3f35bb7c4d3a198d8cde6f6efd,true,true,,xQc8WyKrOa2E4WIW
[7],"- [7] S. Baca, D. Takeda, Ji-Heui Seo, Justin H Hwang, Sheng-Yu Ku, Rand Arafeh et al.. Reprogramming of the FOXA1 cistrome in treatment-emergent neuroendocrine prostate cancer. n.d.. Citations: 129. https://www.semanticscholar.org/paper/f4fb46739e5b16e7efa9aa7f2523823e0164c1ef",https://www.semanticscholar.org/paper/f4fb46739e5b16e7efa9aa7f2523823e0164c1ef,true,true,,3vhVg-517xgPFbbH
[8],"- [8] Zhenda Wang, Abudurexiti Mierxiati, Wenkai Zhu, Tian Li, Hua Xu, Fangning Wan et al.. FOXA1-dependent NSUN2 facilitates the advancement of prostate cancer by preserving TRIM28 mRNA stability in a m5C-dependent manner. n.d.. Citations: 11. https://www.semanticscholar.org/paper/4f46e99acecf38561dbfb3d76f5082ebd0a3ffe1",https://www.semanticscholar.org/paper/4f46e99acecf38561dbfb3d76f5082ebd0a3ffe1,true,true,,87vjgxvf4UK5QKfz
[9],"- [9] Zifeng Wang, Jessica Petricca, Mingyu Liu, Songqi Zhang, Sujun Chen, Muqing Li et al.. SETD7 functions as a transcription repressor in prostate cancer via methylating FOXA1. n.d.. Citations: 17. https://www.semanticscholar.org/paper/e00b36bc2ff85266b79ecc68cbcd5bda186e9c08",https://www.semanticscholar.org/paper/e00b36bc2ff85266b79ecc68cbcd5bda186e9c08,true,true,,a1IcKnm1fT_zpCNE
[0],"- [0] A. Parolia, M. Cieslik, Shih-Chun A Chu, Lanbo Xiao, Takahiro Ouchi, Yuping Zhang et al.. Distinct structural classes of activating FOXA1 alterations in advanced prostate cancer. n.d.. Citations: 246. https://www.semanticscholar.org/paper/4905a68631135926dc10c8178eb5c13c17436e42",https://www.semanticscholar.org/paper/4905a68631135926dc10c8178eb5c13c17436e42,true,true,,e5bnCJrxPi0pEjiv
[5],"- [5] Benjamin D. Sunkel, Dayong Wu, Zhong Chen, Chiou-Miin Wang, Xiangtao Liu, Z. Ye et al.. Integrative analysis identifies targetable CREB1/FoxA1 transcriptional co-regulation as a predictor of prostate cancer recurrence. n.d.. Citations: 12. https://www.semanticscholar.org/paper/b7788110fa4dde7ac4546c81e14cfb19fe83c904",https://www.semanticscholar.org/paper/b7788110fa4dde7ac4546c81e14cfb19fe83c904,true,true,,iMy4EOQRjnEuy-FW
[3],"- [3] S. Celada, Guoliang Li, Lindsay J Celada, Wenfu Lu, T. Kanagasabai, Weiran Feng et al.. Lysosome‐dependent FOXA1 ubiquitination contributes to luminal lineage of advanced prostate cancer. n.d.. Citations: 10. https://www.semanticscholar.org/paper/f43ad55ce75edb9e2917688d67578940ac6ed789",https://www.semanticscholar.org/paper/f43ad55ce75edb9e2917688d67578940ac6ed789,true,true,,kGfLgLibRLbdYZYJ
,,,true,true,,
