id,claim,citation,question,claim_answer,paper_answer,answer_note
1,"Oncogenic EGFR activation (via EGF stimulation, exon 19 deletion, or L858R) induces tumor-cell PD-L1 (CD274) expression in NSCLC models.","(Chen et al., 2015)",Does oncogenic EGFR activation induce tumor-cell PD-L1 expression in NSCLC models?,Yes,Yes,
2,"In a tumor–PBMC co-culture system, PD-L1 upregulation mediates immune escape via the PD-L1/PD-1 axis.","(Chen et al., 2015)",Does PD-L1 upregulation mediate immune escape via the PD-L1/PD-1 axis in tumor–PBMC co-culture?,Yes,Yes,
3,"In a tumor–PBMC co-culture system, PD-L1 upregulation increases apoptosis of T cells in the co-culture setting.","(Chen et al., 2015)",Does PD-L1 upregulation increase T-cell apoptosis in tumor–PBMC co-culture?,Yes,Yes,
4,Overexpression of the EML4–ALK fusion protein increases PD-L1 expression in ALK-positive NSCLC.,"(Hong et al., 2016)",Does EML4–ALK overexpression increase PD-L1 expression in ALK-positive NSCLC?,Yes,Yes,
5,"In tumor/immune-cell co-culture, PD-L1 induction increases T-cell apoptosis.","(Hong et al., 2016)",Does PD-L1 induction increase T-cell apoptosis in tumor/immune-cell co-culture?,Yes,Yes,
6,ALK inhibition reduces PD-L1 in the experimental systems tested.,"(Hong et al., 2016)",Does ALK inhibition reduce PD-L1 in the experimental systems tested?,Yes,Yes,
7,ALK inhibition reverses increased T-cell apoptosis in the experimental systems tested.,"(Hong et al., 2016)",Does ALK inhibition reverse increased T-cell apoptosis in the experimental systems tested?,Yes,Yes,
8,First-line pembrolizumab improved progression-free survival versus platinum chemotherapy in metastatic NSCLC with PD-L1 tumor proportion score (TPS) ≥50%.,"(Reck et al., 2016)",Did first-line pembrolizumab improve progression-free survival versus platinum chemotherapy in metastatic NSCLC with PD-L1 TPS ≥50%?,Yes,Yes,
9,First-line pembrolizumab improved overall survival versus platinum chemotherapy in metastatic NSCLC with PD-L1 tumor proportion score (TPS) ≥50%.,"(Reck et al., 2016)",Did first-line pembrolizumab improve overall survival versus platinum chemotherapy in metastatic NSCLC with PD-L1 TPS ≥50%?,Yes,Yes,
10,First-line atezolizumab improved overall survival versus platinum chemotherapy in patients with high PD-L1 expression in IMpower110.,"(Herbst et al., 2020)",Did first-line atezolizumab improve overall survival versus platinum chemotherapy in high PD-L1 patients in IMpower110?,Yes,Yes,
11,"In previously treated NSCLC, atezolizumab improved overall survival versus docetaxel in the phase 3 OAK trial.","(Rittmeyer et al., 2017)",Did atezolizumab improve overall survival versus docetaxel in previously treated NSCLC in the phase 3 OAK trial?,Yes,Yes,
12,"After concurrent chemoradiotherapy for unresectable stage III NSCLC, durvalumab improved progression-free survival versus placebo in PACIFIC.","(Antonia et al., 2017);(Paz-Ares et al., 2020)",Did durvalumab improve progression-free survival versus placebo after concurrent chemoradiotherapy in unresectable stage III NSCLC in PACIFIC?,Yes,Yes,
13,Additional analyses of PACIFIC reported outcomes by tumor PD-L1 expression.,"(Antonia et al., 2017);(Paz-Ares et al., 2020)",Did additional PACIFIC analyses report outcomes by tumor PD-L1 expression?,Yes,Yes,
