id,claim,citation,question,claim_answer,paper_answer,answer_note
1,PD-L1 serves as the preferred predictive biomarker for immune checkpoint inhibitor efficacy in non-small cell lung cancer (NSCLC).,[1];[2];[3],Is PD-L1 the preferred predictive biomarker for immune checkpoint inhibitor efficacy in NSCLC?,Yes,Yes,
2,PD-L1 functions as the ligand interacting with PD-1 in the PD-1/PD-L1 immune checkpoint in NSCLC.,[1];[4],Does PD-L1 function as the ligand that interacts with PD-1 in NSCLC?,Yes,Yes,
3,High PD-L1 expression associates with greater benefit from single-agent anti-PD-1/PD-L1 therapy in NSCLC.,[1],Does high PD-L1 expression associate with greater benefit from single-agent anti-PD-1/PD-L1 therapy in NSCLC?,Yes,Yes,
4,PD-L1 is expressed in human NSCLC.,[2],Is PD-L1 expressed in human NSCLC?,Yes,Yes,
5,PD-L1 is a tumor cell-surface predictive biomarker for anti-PD-1/PD-L1 therapy in human NSCLC.,[2],Is PD-L1 a tumor cell-surface predictive biomarker for anti-PD-1/PD-L1 therapy in human NSCLC?,Yes,Yes,
6,"In EGFR-mutant NSCLC, EGFR signaling induces PD-L1.",[2],Does EGFR signaling induce PD-L1 in EGFR-mutant NSCLC?,Yes,Yes,
7,Yes-associated protein (YAP) regulates PD-L1 transcription.,[2],Does Yes-associated protein regulate PD-L1 transcription?,Yes,Yes,
8,YAP upregulates PD-L1 in gefitinib-resistant cells.,[2],Does YAP upregulate PD-L1 in gefitinib-resistant cells?,Yes,Yes,
9,"In NSCLC tumor cells, PD-L1 activates Jak2 and Stat3 phosphorylation.",[5],Does PD-L1 activate Jak2 and Stat3 phosphorylation in NSCLC tumor cells?,Yes,Yes,
10,Activation of Jak2 and Stat3 phosphorylation by PD-L1 in NSCLC tumor cells leads to increased IL-6 and other cytokine expression.,[5],Does activation of Jak2 and Stat3 phosphorylation by PD-L1 increase IL-6 and other cytokine expression?,Yes,Yes,
11,"In patients with NSCLC, PD-L1 status modulated IL-6/Jak/Stat3 pathway enrichment.",[5],Does PD-L1 status modulate IL-6/Jak/Stat3 pathway enrichment in NSCLC patients?,Yes,Yes,
12,"In patients with NSCLC, high IL-6 was associated with poor immune checkpoint inhibitor (ICI) outcomes in PD-L1-high tumors.",[5],Was high IL-6 associated with poor ICI outcomes in PD-L1-high NSCLC tumors?,Yes,Yes,
13,"In oncogene-addicted non-small cell lung cancer, PD-L1 expression impacted clinical outcomes from immune checkpoint blockade.",[3],Did PD-L1 expression impact clinical outcomes from immune checkpoint blockade in oncogene-addicted NSCLC?,Yes,Yes,
14,BRAF-mutant tumors exhibited high PD-L1.,[3],Did BRAF-mutant tumors exhibit high PD-L1?,Yes,Yes,
15,BRAF-mutant tumors exhibited high tumor mutational burden.,[3],Did BRAF-mutant tumors exhibit high tumor mutational burden?,Yes,Yes,
16,High tumor mutational burden may increase immune checkpoint blockade (ICB) sensitivity.,[3],Can high tumor mutational burden increase immune checkpoint blockade sensitivity?,Yes,Yes,
17,High tumor mutational burden was associated with superior benefit.,[3],Was high tumor mutational burden associated with superior benefit?,Yes,Yes,
18,"In NSCLC, HRS mediates sorting of PD-L1 into exosomes.",[4],Does HRS mediate sorting of PD-L1 into exosomes in NSCLC?,Yes,Yes,
19,Sorting of PD-L1 into exosomes by HRS restricts CD8+ T cell anti-tumor functions in NSCLC.,[4],Does HRS-mediated sorting of PD-L1 into exosomes restrict CD8+ T cell anti-tumor functions in NSCLC?,Yes,Yes,
20,LAMTOR1 suppresses HRS-mediated secretion of exosomal PD-L1 in NSCLC.,[4],Does LAMTOR1 suppress HRS-mediated secretion of exosomal PD-L1 in NSCLC?,Yes,Yes,
21,Suppression of HRS-mediated secretion of exosomal PD-L1 by LAMTOR1 improves CD8+ T cell function in NSCLC.,[4],Does suppression of HRS-mediated exosomal PD-L1 secretion by LAMTOR1 improve CD8+ T cell function in NSCLC?,Yes,Yes,
