id,claim,citation,question,claim_answer,paper_answer,answer_note
1,PD-1 functions as an inhibitory immune checkpoint receptor on T cells.,[1];[2];[3],Does PD-1 function as an inhibitory immune checkpoint receptor on T cells?,Yes,Yes,
2,PD-1 serves as a therapeutic target in melanoma.,[2];[4];[5],Does PD-1 serve as a therapeutic target in melanoma?,Yes,Yes,
3,PD-1 blockade provides clinical benefit in melanoma.,[4],Does PD-1 blockade provide clinical benefit in melanoma?,Yes,Yes,
4,Many advanced tumors exhibit innate resistance to PD-1 blockade.,[4],Do many advanced tumors exhibit innate resistance to PD-1 blockade?,Yes,Yes,
5,Neoepitopes from somatic non-synonymous mutations are critical for benefit.,[4],Are neoepitopes from somatic non-synonymous mutations critical for benefit?,Yes,Yes,
6,The IPRES transcriptional signature denotes up-expression of mesenchymal/ECM/angiogenesis genes.,[4],"Does the IPRES transcriptional signature denote up-expression of mesenchymal, ECM, and angiogenesis genes?",Yes,Yes,
7,The IPRES transcriptional signature mediates innate anti-PD-1 resistance.,[4],Does the IPRES transcriptional signature mediate innate anti-PD-1 resistance?,Yes,Idk,Passage shows association with resistance but does not prove IPRES causally mediates it
8,Melanoma extracellular-vesicle PD-L1 binds PD-1.,[1],Does melanoma extracellular-vesicle PD-L1 bind PD-1?,Yes,Yes,
9,Exosomal PD-L1 binds PD-1 on antigen-experienced CD8 T cells.,[1],Does exosomal PD-L1 bind PD-1 on antigen-experienced CD8 T cells?,Yes,Yes,
10,Exosomal PD-L1 inhibits antigen-experienced CD8 T cells.,[1],Does exosomal PD-L1 inhibit antigen-experienced CD8 T cells?,Yes,Yes,
11,Anti-PD-L1 or anti-PD-1 antibodies block the inhibition of antigen-experienced CD8 T cells.,[1],Do anti-PD-L1 or anti-PD-1 antibodies block inhibition of antigen-experienced CD8 T cells?,Yes,Yes,
12,Early on-treatment increases in circulating exosomal PD-L1 stratify responders from non-responders.,[1],Do early on-treatment increases in circulating exosomal PD-L1 stratify responders from non-responders?,Yes,Yes,
13,The PD-1–PD-L1 pathway is identified as important for treating some cancers.,[2],Is the PD-1–PD-L1 pathway important for treating some cancers?,Yes,Yes,
14,An anti–PD-1 antibody showed PD-1–receptor occupancy on circulating CD3+ T cells.,[2],Did an anti–PD-1 antibody show PD-1 receptor occupancy on circulating CD3+ T cells?,Yes,Yes,
15,"An anti–PD-1 antibody produced clinical activity in melanoma, including one complete response.",[2],"Did an anti–PD-1 antibody produce clinical activity in melanoma, including a complete response?",Yes,Yes,
16,"In human melanoma and murine tumor models, anti-PD-1 predominantly induces expansion of specific tumor-infiltrating exhausted-like CD8 T cell subsets.",[3],Does anti-PD-1 predominantly induce expansion of exhausted-like tumor-infiltrating CD8 T cell subsets?,Yes,Yes,
17,Checkpoint blockade targets only particular tumor-infiltrating T cells.,[3],Does checkpoint blockade target only particular tumor-infiltrating T cells?,Yes,Yes,
18,Anti-PD-1 responses are driven by mechanisms distinct from anti-CTLA-4.,[3],Are anti-PD-1 responses driven by mechanisms distinct from anti-CTLA-4?,Yes,Yes,
19,Anti-PD-1 therapy produces objective responses in melanoma.,[5],Does anti-PD-1 therapy produce objective responses in melanoma?,Yes,Yes,
20,Defects in interferon-receptor signaling were associated with acquired resistance to PD-1 blockade.,[5],Were defects in interferon-receptor signaling associated with acquired resistance to PD-1 blockade?,Yes,Yes,
21,Defects in antigen presentation were associated with acquired resistance to PD-1 blockade.,[5],Were defects in antigen presentation associated with acquired resistance to PD-1 blockade?,Yes,Yes,
22,Some responders later experienced progression despite ongoing therapy.,[5],Did some responders later experience progression despite ongoing therapy?,Yes,Yes,
23,Some responders later experienced delayed relapse despite ongoing therapy.,[5],Did some responders later experience delayed relapse despite ongoing therapy?,Yes,Yes,
