id,claim,citation,question,claim_answer,paper_answer,answer_note
1,PD-1 is an inhibitory checkpoint receptor.,"(Herold et al., 2026);(Pardoll, 2012)",Is PD-1 an inhibitory checkpoint receptor?,Yes,Yes,
2,"PD-1 is expressed on tumor-infiltrating lymphocytes (TILs), including αβ T cells and γδ T cells, in the melanoma microenvironment.","(Herold et al., 2026);(Pardoll, 2012)","Is PD-1 expressed on tumor-infiltrating lymphocytes, including αβ and γδ T cells, in melanoma?",Yes,Yes,
3,Melanoma cells frequently express the ligand programmed death-ligand 1 (PD-L1).,,Do melanoma cells frequently express the ligand PD-L1?,Yes,,
4,The ligand programmed death-ligand 1 (PD-L1) binds PD-1 to recruit Src homology region 2 domain-containing phosphatase (SHP-2).,,Does PD-L1 bind PD-1 to recruit the phosphatase SHP-2?,Yes,,
5,The interaction between PD-L1 and PD-1 that recruits SHP-2 dephosphorylates the T-cell receptor (TCR) complex.,"(Jiang et al., 2013);(Tong et al., 2025)",Does the PD-L1/PD-1 interaction that recruits SHP-2 dephosphorylate the T-cell receptor complex?,Yes,Yes,
6,The interaction between PD-L1 and PD-1 that recruits SHP-2 induces T-cell exhaustion.,"(Jiang et al., 2013);(Tong et al., 2025)",Does the PD-L1/PD-1 interaction that recruits SHP-2 induce T-cell exhaustion?,Yes,Idk,Passage doesn't explicitly link SHP-2 recruitment to T-cell exhaustion
7,The interaction between PD-L1 and PD-1 that recruits SHP-2 suppresses cytokine production.,"(Jiang et al., 2013);(Tong et al., 2025)",Does the PD-L1/PD-1 interaction that recruits SHP-2 suppress cytokine production?,Yes,Yes,
8,The PD-1/PD-L1 axis facilitates adaptive immune resistance.,"(Tumeh et al., 2014)",Does the PD-1/PD-L1 axis facilitate adaptive immune resistance?,Yes,Yes,
9,Interferon-gamma (IFN-γ) produced by immune cells paradoxically upregulates programmed death-ligand 1 (PD-L1) on tumor cells to evade destruction.,"(Tumeh et al., 2014)",Does interferon-gamma from immune cells upregulate PD-L1 on tumor cells to evade destruction?,Yes,Yes,
10,Clinical blockade of PD-1 with monoclonal antibodies such as pembrolizumab or nivolumab restores anti-tumor activity.,"(Robert et al., 2015);(Wolchok et al., 2025)",Does clinical blockade of PD-1 with pembrolizumab or nivolumab restore anti-tumor activity?,Yes,Yes,
11,The final 10-year outcomes from the CheckMate 067 trial show a median overall survival (OS) of 71.9 months for nivolumab plus ipilimumab versus 19.9 months for ipilimumab alone.,"(Robert et al., 2015);(Wolchok et al., 2025)",Do the final 10-year CheckMate 067 outcomes show median OS 71.9 months for nivolumab+ipilimumab versus 19.9 months for ipilimumab alone?,Yes,Yes,
12,Dual inhibition of PD-1 and LAG-3 significantly improves progression-free survival in treatment-naive metastatic melanoma.,"(Tawbi et al., 2022)",Does dual inhibition of PD-1 and LAG-3 significantly improve progression-free survival in treatment-naive metastatic melanoma?,Yes,Yes,
13,High baseline peripheral Vδ1 T-cell frequencies were identified as a specific predictor of reduced overall survival (OS) under anti-PD-1 therapy.,"(Herold et al., 2026)",Were high baseline peripheral Vδ1 T-cell frequencies identified as a predictor of reduced overall survival under anti-PD-1 therapy?,Yes,Yes,
