id,claim,question,claim_answer,evidence_answer,answer_note
1,NKX2-1 plays distinct roles in regulating epithelial cell fate during early lung morphogenesis.,Does NKX2-1 play distinct roles regulating epithelial cell fate during early lung morphogenesis?,Yes,,
2,"In embryonic and perinatal mouse lung development, NKX2-1-dependent regulation of alveolar epithelial differentiation is mediated by epigenomic modulation performed by PRDM3 and PRDM16.",Do PRDM3 and PRDM16 mediate NKX2-1-dependent alveolar epithelial differentiation via epigenomic modulation in embryonic and perinatal mouse lungs?,Yes,,
3,"During lung morphogenesis and prior to birth, NKX2-1 is required in alveolar type II cells to induce a diversity of transcriptional targets.",Is NKX2-1 required in alveolar type II cells during lung morphogenesis before birth to induce diverse transcriptional targets?,Yes,,
4,NKX2-1 plays distinct roles during the differentiation of alveolar type II (AT2) cells from SOX9 progenitors.,Does NKX2-1 play distinct roles in AT2 differentiation from SOX9 progenitors?,Yes,,
5,"In embryonic and perinatal mouse lung development, PRDM3 and PRDM16 co-bind with NKX2-1 at H3K4me3-marked promoters.",Do PRDM3 and PRDM16 co-bind with NKX2-1 at H3K4me3-marked promoters during embryonic and perinatal mouse lung development?,Yes,,
6,The transcriptional targets induced by NKX2-1 in alveolar type II cells drive surfactant lipid synthesis.,Do NKX2-1-induced transcriptional targets in alveolar type II cells drive surfactant lipid synthesis?,Yes,,
7,NKX2-1 binds at cis-regulatory elements to modulate the expression of AT2 and AT1 selective genes before birth.,Does NKX2-1 bind cis-regulatory elements to modulate AT2 and AT1 gene expression before birth?,Yes,,
8,"In embryonic and perinatal mouse lung development, PRDM3 and PRDM16 alter chromatin accessibility at NKX2-1 transcriptional targets.",Do PRDM3 and PRDM16 alter chromatin accessibility at NKX2-1 transcriptional targets in embryonic and perinatal mouse lung development?,Yes,,
9,The transcriptional targets induced by NKX2-1 in alveolar type II cells drive surfactant protein synthesis.,Do NKX2-1-induced transcriptional targets in alveolar type II cells drive surfactant protein synthesis?,Yes,,
10,"NKX2-1 directly regulates genes encoding surfactant proteins A, B, C, and D.","Does NKX2-1 directly regulate genes encoding surfactant proteins A, B, C, and D?",Yes,,
11,"In embryonic and perinatal mouse lung development, PRDM3 and PRDM16 are required for induction of NKX2-1 target genes controlling surfactant lipid and protein homeostasis.",Do PRDM3 and PRDM16 enable induction of NKX2-1 surfactant genes in embryonic and perinatal mouse lungs?,Yes,,
12,The transcriptional targets induced by NKX2-1 in alveolar type II cells drive innate host defense protein synthesis.,Do NKX2-1-induced transcriptional targets in alveolar type II cells drive innate host defense protein synthesis?,Yes,,
13,"NKX2-1 directly regulates genes controlling AT2 lipid homeostasis including Abca3, Scd1, and Sreb.","Does NKX2-1 directly regulate AT2 lipid homeostasis genes including Abca3, Scd1, and Sreb?",Yes,,
14,"NKX2-1 regulates genes controlling alveolar type II (AT2) lipid homeostasis including Abca3, Scd1, and Sreb.","Does NKX2-1 regulate genes controlling AT2 lipid homeostasis including Abca3, Scd1, and Sreb?",Yes,,
15,"NKX2-1 functions in gene regulatory networks with FOXA1, FOXA2, KLF5, GATA6, TEAD, SREBF1, NF1, and CEBPα to activate cis-regulatory elements controlling surfactant homeostasis before and after birth.","Does NKX2-1 function with FOXA1, FOXA2, KLF5, GATA6, TEAD, SREBF1, NF1, and CEBPα to activate surfactant cis-regulatory elements?",Yes,,
16,"NKX2-1 functions in gene regulatory networks with the transcription factors FOXA1/2, KLF5, GATA6, TEAD, SREBF1, NF1, and CEBPα.","Does NKX2-1 function in gene regulatory networks with FOXA1/2, KLF5, GATA6, TEAD, SREBF1, NF1, and CEBPα?",Yes,,
17,"During the perinatal period before birth, alveolar type II (AT2) cells display a dramatic increase in expression of NKX2-1 transcriptional targets.",Do AT2 cells show a dramatic perinatal increase in expression of NKX2-1 transcriptional targets before birth?,Yes,,
18,NKX2-1 binds at cis-regulatory elements with PRDM3 and PRDM16 to modulate AT2-selective genes before birth.,Does NKX2-1 bind at cis-regulatory elements with PRDM3 and PRDM16 to modulate AT2-selective genes before birth?,Yes,,
19,The dramatic increase in expression of NKX2-1 transcriptional targets in alveolar type II (AT2) cells during the perinatal period before birth is not accompanied by a concomitant increased expression of NKX2-1.,Is the perinatal increase in NKX2-1 target expression in AT2 cells not accompanied by increased NKX2-1 expression?,Yes,,
20,Modulation of NKX2-1 activity by phosphorylation is linked to a dramatic prenatal increase in expression of NKX2-1 transcriptional targets.,Is modulation of NKX2-1 activity by phosphorylation linked to a dramatic prenatal increase in its targets' expression?,Yes,,
