id,claim,citation,question,claim_answer,paper_answer,answer_note
1,ESR1 encodes estrogen receptor-α (ERα).,"(Greene et al., 1986)",Does ESR1 encode estrogen receptor-α (ERα)?,Yes,Idk,Passage does not mention the gene name ESR1.
2,ER cDNA cloned from the ER-positive breast cancer cell line MCF-7 produced an estradiol-binding receptor when expressed in heterologous cells.,"(Greene et al., 1986)",Did ER cDNA cloned from MCF-7 produce an estradiol-binding receptor when expressed in heterologous cells?,Yes,Yes,
3,The ER cDNA result established ESR1/ERα as the molecular mediator of estrogen binding in the MCF-7 model.,"(Greene et al., 1986)",Did the ER cDNA result establish ESR1/ERα as the molecular mediator of estrogen binding in the MCF-7 model?,Yes,Idk,Passage doesn't explicitly state ESR1/ERα is the MCF-7 estrogen-binding mediator.
4,"In ERα-positive MCF-7 breast cancer cells, ERα signaling induced by 17β-estradiol drives coordinated downstream expression changes consistent with ERα-dependent proliferative signaling programs.","(Drabovich et al., 2016)",Does 17β-estradiol–induced ERα signaling drive proliferative gene expression in ERα-positive MCF-7 cells?,Yes,Yes,
5,"In MCF-7 cells, ERα mediates proliferation through a p21/PCNA/E2F1-dependent pathway.","(Liao et al., 2014)","In MCF-7 cells, does ERα mediate proliferation through a p21/PCNA/E2F1-dependent pathway?",Yes,Yes,
6,"In MCF-7 cells, ERα knockdown altered proliferation markers and cell-cycle regulators.","(Liao et al., 2014)",Does ERα knockdown alter proliferation markers and cell-cycle regulators in MCF-7 cells?,Yes,Yes,
7,"In metastatic, hormone-resistant ER-positive breast cancer, recurrent ESR1 ligand-binding domain (LBD) mutations were identified in patient tumors.","(Toy et al., 2013)","Were recurrent ESR1 ligand-binding domain mutations identified in tumors from metastatic, hormone-resistant ER-positive breast cancer patients?",Yes,Yes,
8,"Functional assays in the Toy et al., 2013 study showed the ESR1 LBD mutations can confer ligand-independent ER activity.","(Toy et al., 2013)",Did Toy et al. (2013) show ESR1 LBD mutations can confer ligand-independent ER activity in functional assays?,Yes,Yes,
9,"Functional assays in the Toy et al., 2013 study showed the ESR1 LBD mutations can confer reduced sensitivity to estrogen deprivation.","(Toy et al., 2013)",Did Toy et al. (2013) show ESR1 LBD mutations confer reduced sensitivity to estrogen deprivation in functional assays?,Yes,Yes,
10,Activating ESR1 LBD mutations were detected in hormone-resistant metastatic breast cancers from treated patients.,"(Robinson et al., 2013)",Were activating ESR1 LBD mutations detected in hormone-resistant metastatic breast cancers from treated patients?,Yes,Yes,
11,The detection of activating ESR1 LBD mutations in hormone-resistant metastatic breast cancers from treated patients supports ESR1 mutation as a tumor-associated alteration in that setting.,"(Robinson et al., 2013)","Does detection of activating ESR1 LBD mutations in treated, hormone-resistant metastatic breast cancers support ESR1 mutation as a tumor-associated alteration?",Yes,Yes,
12,The ESR1 D538G mutation displays constitutive transcriptional activity.,"(Merenbakh-Lamin et al., 2013)",Does the ESR1 D538G mutation display constitutive transcriptional activity?,Yes,Yes,
13,"When overexpressed in breast cancer cells, the ESR1 D538G mutation enhances proliferation.","(Merenbakh-Lamin et al., 2013)",Does overexpression of ESR1 D538G enhance proliferation in breast cancer cells?,Yes,Yes,
14,"When overexpressed in breast cancer cells, the ESR1 D538G mutation confers resistance to tamoxifen.","(Merenbakh-Lamin et al., 2013)",Does overexpression of ESR1 D538G confer resistance to tamoxifen in breast cancer cells?,Yes,Yes,
15,ESR1 gene amplification has been examined in primary breast cancer cohorts.,"(Markiewicz et al., 2013)",Has ESR1 gene amplification been examined in primary breast cancer cohorts?,Yes,Yes,
16,"ESR1 gene amplification was reported to associate with patient outcome in the Markiewicz et al., 2013 study.","(Markiewicz et al., 2013)",Did Markiewicz et al. (2013) report that ESR1 gene amplification associates with patient outcome?,Yes,Yes,
