id,claim,citation,question,claim_answer,paper_answer,answer_note
1,The ESR1 gene encodes estrogen receptor α (ERα).,"(Characterization of ESR1 alterations, 2026)",Does the ESR1 gene encode the estrogen receptor alpha (ERα)?,Yes,Yes,
2,Estrogen receptor α (ERα) is a ligand-activated transcription factor.,"(Characterization of ESR1 alterations, 2026)",Is estrogen receptor alpha a ligand-activated transcription factor?,Yes,Yes,
3,Estrogen receptor α (ERα) serves as the primary driver of tumor growth in approximately 70% of breast cancer cases.,"(Characterization of ESR1 alterations, 2026)",Does estrogen receptor alpha drive tumor growth in approximately 70% of breast cancer cases?,Yes,Idk,"Passage gives 70% HR+ prevalence, not that ER drives growth in 70%."
4,"ESR1 mutations are present in fewer than 1% of primary, treatment-naive tumors.","(Jeselsohn et al., 2015)","Are ESR1 mutations present in fewer than 1% of primary, treatment-naive tumors?",Yes,Yes,
5,ESR1 mutations occur in 20% to 40% of metastatic ER-positive cases following selective pressure from endocrine therapy.,"(Jeselsohn et al., 2015)",Do ESR1 mutations occur in 20% to 40% of metastatic ER-positive cases after endocrine therapy?,Yes,Idk,"Passage gives ≈20% overall; ranges 14–54%, so 20–40% not confirmed"
6,"Specific ESR1 hotspot mutations within the ligand-binding domain, notably Y537S and D538G, result in constitutive, ligand-independent ERα activity.","(Robinson et al., 2013);(Toy et al., 2013)","Do ESR1 hotspot mutations Y537S and D538G cause constitutive, ligand-independent ERα activity?",Yes,Yes,
7,"Constitutive, ligand-independent ERα activity resulting from the ESR1 hotspot mutations Y537S and D538G confers resistance to aromatase inhibitors by bypassing the need for estrogen.","(Robinson et al., 2013);(Toy et al., 2013)","Does constitutive, ligand-independent ERα activity from Y537S and D538G confer resistance to aromatase inhibitors?",Yes,Yes,
8,Recurrent ESR1 gene fusions most frequently involve exons 1 through 6.,"(Lei et al., 2018)",Do recurrent ESR1 gene fusions most frequently involve exons 1 through 6?,Yes,Yes,
9,Recurrent ESR1 gene fusions promote endocrine resistance.,"(Lei et al., 2018)",Do recurrent ESR1 gene fusions promote endocrine resistance?,Yes,Yes,
10,Recurrent ESR1 gene fusions promote metastatic progression.,"(Lei et al., 2018)",Do recurrent ESR1 gene fusions promote metastatic progression?,Yes,Yes,
11,Recurrent ESR1 gene fusions induce estrogen-independent growth.,"(Lei et al., 2018)",Do recurrent ESR1 gene fusions induce estrogen-independent growth?,Yes,Yes,
12,Recurrent ESR1 gene fusions induce epithelial-to-mesenchymal transition (EMT) transcriptional programs.,"(Lei et al., 2018)",Do recurrent ESR1 gene fusions induce epithelial-to-mesenchymal transition transcriptional programs?,Yes,Yes,
13,ESR1 mutations and ESR1 gene fusions collectively enable tumor cells to maintain oncogenic signaling despite estrogen deprivation.,,Do ESR1 mutations and gene fusions enable tumor cells to maintain oncogenic signaling despite estrogen deprivation?,Yes,,
14,ESR1 mutations and ESR1 gene fusions facilitate disease recurrence.,,Do ESR1 mutations and gene fusions facilitate disease recurrence?,Yes,,
15,ESR1 mutations and ESR1 gene fusions facilitate therapeutic failure.,,Do ESR1 mutations and gene fusions facilitate therapeutic failure?,Yes,,
