id,claim,citation,question,claim_answer,paper_answer,answer_note
1,OLIG2 specifies neural progenitors into oligodendrocyte progenitor cells.,[1];[2];[3];[4],Does OLIG2 specify neural progenitors into oligodendrocyte progenitor cells?,Yes,Yes,
2,OLIG2 specifies neural progenitors into the oligodendroglial lineage.,[1];[2];[3];[4],Does OLIG2 specify neural progenitors into the oligodendroglial lineage?,Yes,Yes,
3,OLIG2 promotes OPC differentiation into myelin-forming oligodendrocytes.,[1];[3];[4],Does OLIG2 promote OPC differentiation into myelin-forming oligodendrocytes?,Yes,Yes,
4,OLIG2 supports myelination.,[1];[3];[4],Does OLIG2 support myelination?,Yes,Yes,
5,OLIG2 is required for oligodendrocyte development.,[2];[4],Is OLIG2 required for oligodendrocyte development?,Yes,Yes,
6,"With partial Shh inhibition, Olig2 overexpression in human iPSCs drove oligodendroglial specification.",[1],"With partial Shh inhibition, did Olig2 overexpression in human iPSCs drive oligodendroglial specification?",Yes,Yes,
7,"With partial Shh inhibition, Olig2 overexpression in human iPSCs upregulated oligodendroglial markers.",[1],"With partial Shh inhibition, did Olig2 overexpression in human iPSCs upregulate oligodendroglial markers?",Yes,Yes,
8,"With partial Shh inhibition, Olig2 overexpression in human iPSCs increased NG2+ cells.",[1],"With partial Shh inhibition, did Olig2 overexpression in human iPSCs increase NG2+ cells?",Yes,Yes,
9,"In tMCAO rats, transplanted Olig2-OPCs partly differentiated into MBP+ oligodendrocytes.",[1],"In tMCAO rats, did transplanted Olig2-OPCs partly differentiate into MBP+ oligodendrocytes?",Yes,Yes,
10,"In tMCAO rats, transplanted Olig2-OPCs engrafted better.",[1],"In tMCAO rats, did transplanted Olig2-OPCs engraft better?",Yes,Yes,
11,The transplanted Olig2-OPCs promoted myelination.,[1],Did the transplanted Olig2-OPCs promote myelination?,Yes,Yes,
12,The transplanted Olig2-OPCs improved cognition.,[1],Did the transplanted Olig2-OPCs improve cognition?,Yes,Yes,
13,OLIG2 binds coding and lncRNA genes.,[2],Does OLIG2 bind coding and lncRNA genes?,Yes,Yes,
14,OLIG2 can activate or repress lncRNAs.,[2],Can OLIG2 activate or repress lncRNAs?,Yes,Yes,
15,OLIG2 represses lnc-OPC in neural stem cells.,[2],Does OLIG2 repress lnc-OPC in neural stem cells?,Yes,Yes,
16,Olig2 knockout prevents oligodendroglial lineage.,[2],Does Olig2 knockout prevent the oligodendroglial lineage?,Yes,Yes,
17,Olig2 overexpression promotes OPC generation.,[2],Does Olig2 overexpression promote OPC generation?,Yes,Yes,
18,Olig2 overexpression promotes oligodendrocyte generation.,[2],Does Olig2 overexpression promote oligodendrocyte generation?,Yes,Yes,
19,Olig2 is a bHLH transcription factor expressed in neural progenitors.,[3],Is Olig2 a bHLH transcription factor expressed in neural progenitors?,Yes,Yes,
20,Olig2 specifies neural progenitors into motor neurons and OPCs.,[3],Does Olig2 specify neural progenitors into motor neurons and OPCs?,Yes,Yes,
21,Olig2 primes OPCs for differentiation into myelin-forming oligodendrocytes.,[3],Does Olig2 prime OPCs for differentiation into myelin-forming oligodendrocytes?,Yes,Yes,
22,Olig2-E1 physically interacts with OLIG2 in oligodendrocytes.,[3],Does Olig2-E1 physically interact with OLIG2 in oligodendrocytes?,Yes,Yes,
23,CRISPRi silencing of Olig2-E1 downregulated Olig2.,[3],Does CRISPRi silencing of Olig2-E1 downregulate Olig2?,Yes,Yes,
24,Olig2 is a key transcription factor in oligodendrocyte differentiation.,[4],Is Olig2 a key transcription factor in oligodendrocyte differentiation?,Yes,Yes,
25,Olig2+ cells are specified in the preoptic area.,[4],Are Olig2+ cells specified in the preoptic area?,Yes,Yes,
26,Olig2+ cells initially coexpress Sox2.,[4],Do Olig2+ cells initially coexpress Sox2?,Yes,Yes,
27,Olig2+ cells colocalize with sox10 while ensheathing the optic nerve.,[4],Do Olig2+ cells colocalize with sox10 while ensheathing the optic nerve?,Yes,Yes,
28,Olig2+ cells express mbpa while ensheathing the optic nerve.,[4],Do Olig2+ cells express mbpa while ensheathing the optic nerve?,Yes,Yes,
29,Mesencephalic olig2/sox10 oligodendrocytes differentiate earlier.,[4],Do mesencephalic olig2/sox10 oligodendrocytes differentiate earlier?,Yes,Yes,
30,"In Opalin cKO mice, the percentage of CC1+ mature oligodendrocytes among Olig2+ cells in the corpus callosum was reduced.",[5],"In Opalin cKO mice, was the percentage of CC1+ oligodendrocytes among Olig2+ corpus callosum cells reduced?",Yes,Yes,
31,"In Opalin icKO mice, the ratio of CC1+/Olig2+ cells to Olig2+ cells in the corpus callosum was significantly decreased.",[5],"In Opalin icKO mice, was the CC1+/Olig2+ ratio in the corpus callosum significantly decreased?",Yes,Yes,
