id,claim,question,claim_answer,evidence_answer,answer_note
1,Sox9 is a key transcriptional regulator that specifies astrocytes during development.,Is Sox9 a key transcriptional regulator that specifies astrocytes during development?,Yes,,
2,"In the dorsal spinal cord (ipsilateral lumbar SDH) after nerve injury/SNI, including rat models, Sox9 functions as a regulator of astrocytic metabolism.",Does Sox9 regulate astrocytic metabolism in the ipsilateral lumbar SDH after SNI?,Yes,,
3,Sox9 functions as an astrocyte specifier.,Does Sox9 function as an astrocyte specifier?,Yes,,
4,Sox9 is specifically expressed in naïve astrocytes.,Is Sox9 specifically expressed in naïve astrocytes?,Yes,,
5,"In the dorsal spinal cord (ipsilateral lumbar SDH) after nerve injury/SNI, including rat models, Sox9 functions as a regulator of astrocytic phenotype.",Does Sox9 regulate astrocytic phenotype in the ipsilateral lumbar SDH after SNI?,Yes,,
6,"In adults, Sox9 is expressed in naïve astrocytes.",Is Sox9 expressed in naive adult astrocytes?,Yes,,
7,Sox9 is upregulated in reactive astrocytes after brain and spinal cord injury.,Is Sox9 upregulated in reactive astrocytes after brain and spinal cord injury?,Yes,,
8,"In the dorsal spinal cord (ipsilateral lumbar SDH) after nerve injury/SNI, including rat models, nerve injury triggers phosphorylation of Sox9 at site 181.",Does nerve injury/SNI induce phosphorylation of Sox9 at site 181 in the ipsilateral lumbar SDH?,Yes,,
9,Sox9 is upregulated in reactive astrocytes following brain or spinal cord injury.,Is Sox9 upregulated in reactive astrocytes after brain or spinal cord injury?,Yes,,
10,"In naïve animals, Sox9 maintains basal Hk1 levels.",Does Sox9 maintain basal Hk1 levels in naïve animals?,Yes,,
11,"In the dorsal spinal cord (ipsilateral lumbar SDH) after nerve injury/SNI, including rat models, phosphorylation of Sox9 at site 181 enhances nuclear translocation of Sox9 in astrocytes.",Does phosphorylation at Sox9 site 181 enhance Sox9 nuclear translocation in astrocytes after SNI?,Yes,,
12,Nerve injury triggers Sox9 phosphorylation.,Does nerve injury trigger Sox9 phosphorylation?,Yes,,
13,Sox9 phosphorylation enhances nuclear translocation of Sox9.,Does Sox9 phosphorylation enhance Sox9 nuclear translocation?,Yes,,
14,"In the dorsal spinal cord (ipsilateral lumbar SDH) after nerve injury/SNI, including rat models, phosphorylation of Sox9 at site 181 enhances transcriptional activity of Sox9 in astrocytes.",Does phosphorylation at Sox9 site 181 enhance Sox9 transcriptional activity in astrocytes after SNI?,Yes,,
15,Sox9 phosphorylation enhances Sox9 nuclear translocation.,Does Sox9 phosphorylation enhance Sox9 nuclear translocation?,Yes,,
16,Sox9 phosphorylation increases Sox9 transcriptional activity.,Does Sox9 phosphorylation increase Sox9 transcriptional activity?,Yes,,
17,"In the dorsal spinal cord (ipsilateral lumbar SDH) after nerve injury/SNI, including rat models, increased transcriptional activity of phosphorylated Sox9 upregulates Hk1 (hexokinase 1) expression in astrocytes.",Does phosphorylated Sox9 increase Hk1 expression in astrocytes in the ipsilateral lumbar SDH after SNI?,Yes,,
18,Sox9 phosphorylation enhances Sox9 transcriptional activity.,Does Sox9 phosphorylation enhance Sox9 transcriptional activity?,Yes,,
19,Sox9 phosphorylation leads to pathological Hk1 upregulation.,Does Sox9 phosphorylation lead to pathological Hk1 upregulation?,Yes,,
20,Phosphorylated Sox9 directly upregulates Hk1.,Does phosphorylated Sox9 directly upregulate Hk1?,Yes,,
