id,claim,citation,question,claim_answer,paper_answer,answer_note
1,Nkx2-1 protein is present in distal epithelial cells in the developing mouse lung.,"(Tagne et al., 2012)",Is Nkx2-1 protein present in distal epithelial cells in the developing mouse lung?,Yes,Yes,
2,Nkx2-1 protein is restricted to bronchiolar and alveolar type II (AT2) cells by late gestation (E19.5) in the developing mouse lung.,"(Tagne et al., 2012)","By late gestation (E19.5), is Nkx2-1 protein restricted to bronchiolar and AT2 cells in the developing mouse lung?",Yes,Yes,
3,In vivo ChIP-based profiling of embryonic lung identified Nkx2-1 occupancy at regulatory regions of surfactant genes including Sftpa and Sftpb.,"(Tagne et al., 2012)",Does in vivo ChIP of embryonic lung identify Nkx2-1 at regulatory regions of surfactant genes Sftpa and Sftpb?,Yes,Yes,
4,Nkx2-1 occupancy at regulatory regions of surfactant genes is consistent with a direct transcriptional relationship between Nkx2-1 and AT2-associated surfactant programs.,"(Tagne et al., 2012)",Is Nkx2-1 occupancy at surfactant gene regulatory regions consistent with a direct transcriptional relationship with AT2 surfactant programs?,Yes,Yes,
5,Thyroid transcription factor-1 (TTF-1) is encoded by NKX2-1.,"(Bohinski & Di Lauro, 1994)",Is thyroid transcription factor-1 (TTF-1) encoded by NKX2-1?,Yes,Idk,Passage does not state that NKX2-1 encodes TTF-1.
6,Thyroid transcription factor-1 (TTF-1) directly targets the surfactant protein B promoter in reporter and DNA-binding assays.,"(Bohinski & Di Lauro, 1994)",Does TTF-1 directly target the surfactant protein B promoter in reporter and DNA-binding assays?,Yes,Yes,
7,The direct targeting of the surfactant protein B promoter by TTF-1 supports direct transcriptional activation of the AT2 effector gene SFTPB/SP-B by NKX2-1.,"(Bohinski & Di Lauro, 1994)",Does TTF-1's direct targeting of the surfactant protein B promoter support NKX2-1 activation of SFTPB/SP-B?,Yes,Idk,Passage does not mention NKX2-1 or link it to TTF-1.
8,Thyroid transcription factor-1 (TTF-1) is sufficient to mediate transcriptional activation of the lung-specific SFTPC/SP-C promoter in transfection assays.,"(Kelly et al., 1996)",Is TTF-1 sufficient to mediate transcriptional activation of the lung-specific SFTPC/SP-C promoter in transfection assays?,Yes,Yes,
9,Both AT1 and AT2 cells in adult alveolar epithelium express NKX2-1.,"(Little et al., 2021)",Do both AT1 and AT2 cells in adult alveolar epithelium express NKX2-1?,Yes,Yes,
10,Conditional loss-of-function experiments show NKX2-1 is required for alveolar cell fate regulation.,"(Little et al., 2021)",Do conditional loss-of-function experiments show NKX2-1 is required for alveolar cell fate regulation?,Yes,Yes,
11,Conditional loss-of-function experiments show NKX2-1 loss is accompanied by changes in chromatin accessibility.,"(Little et al., 2021)",Do conditional loss-of-function experiments show NKX2-1 loss is accompanied by changes in chromatin accessibility?,Yes,Yes,
12,Alveolar epithelial progenitors require Nkx2-1 to maintain a progenitor-specific epigenomic state during homeostasis and regeneration.,"(Toth et al., 2023)",Do alveolar epithelial progenitors require Nkx2-1 to maintain a progenitor-specific epigenomic state during homeostasis and regeneration?,Yes,Yes,
