id,claim,question,claim_answer,evidence_answer,answer_note
1,"In non-small cell lung cancer, PD-L1 in the PD-1/PD-L1 axis serves as a therapeutic target.",Is PD-L1 a therapeutic target in non-small cell lung cancer?,Yes,,
2,"In NSCLC, PD-L1 functions as a tumor-expressed ligand of the PD-1 immune checkpoint.","In NSCLC, does PD-L1 function as a tumor-expressed ligand of the PD-1 immune checkpoint?",Yes,,
3,"In advanced non-small cell lung cancer, PD-L1 expression is the preferred biomarker for predicting the efficacy of immune checkpoint inhibitors.",Is PD-L1 expression the preferred biomarker for predicting the efficacy of immune checkpoint inhibitors in advanced NSCLC?,Yes,,
4,"In non-small cell lung cancer, PD-L1 in the PD-1/PD-L1 axis is targeted alongside CTLA-4 in immune checkpoint therapies.",Is PD-L1 targeted alongside CTLA-4 in immune checkpoint therapy for non-small cell lung cancer?,Yes,,
5,PD-L1 on tumor and some immune cells binds PD-1 on recently activated T cells.,Does PD-L1 on tumor and some immune cells bind PD-1 on recently activated T cells?,Yes,,
6,High PD-L1 positivity is often accompanied by high levels of T lymphocyte infiltration.,Is high PD-L1 positivity often accompanied by high levels of T lymphocyte infiltration?,Yes,,
7,PD-L1 expression in tumor tissue is the preferred biomarker for predicting efficacy of PD-1/PD-L1 inhibitors.,Is tumor PD-L1 expression the preferred biomarker for predicting PD-1/PD-L1 inhibitor efficacy?,Yes,,
8,Binding of PD-L1 on tumor and some immune cells to PD-1 on recently activated T cells inhibits T cell–associated kinases.,Does binding of PD-L1 on tumor and immune cells to PD-1 inhibit T cell-associated kinases?,Yes,,
9,Detection of PD-L1 in tumor tissues is the most direct method to predict response to PD-1/PD-L1 inhibitors.,Is detecting PD-L1 in tumor tissues the most direct method to predict response to PD-1/PD-L1 inhibitors?,Yes,,
10,High PD-L1 positivity in tumor tissue is often accompanied by high T lymphocyte infiltration in tumor tissue.,Is high tumor PD-L1 positivity often accompanied by high T-lymphocyte infiltration?,Yes,,
11,Binding of PD-L1 on tumor and some immune cells to PD-1 on recently activated T cells blocks cytotoxic T lymphocyte responses.,Does binding of PD-L1 on tumor and immune cells to PD-1 block cytotoxic T lymphocyte responses?,Yes,,
12,"A systematic review of 19 studies found that, for advanced NSCLC, most evidence shows patients with high PD-L1 expression benefited more from single-agent anti-PD-1/PD-L1 drugs (nivolumab, pembrolizumab, duvalizumab, atilizumab, and avelumab).",Did a 19-study systematic review find that advanced NSCLC patients with high PD-L1 benefited more from single-agent anti-PD-1/PD-L1 drugs?,Yes,,
13,A systematic review of 19 studies in advanced non-small cell lung cancer showed that patients with high PD-L1 expression benefited more from single-agent anti-PD-1/PD-L1 drugs than patients with low PD-L1 expression.,Did a 19-study systematic review find high PD-L1 patients benefited more from single-agent anti-PD-1/PD-L1 drugs?,Yes,,
14,Binding of PD-L1 on tumor and some immune cells to PD-1 on recently activated T cells reduces T and B cell proliferation.,Does binding of PD-L1 on tumor and immune cells to PD-1 reduce T and B cell proliferation?,Yes,,
15,PD-L1 expression level has become an important basis for clinicians to formulate immunotherapy programs for NSCLC patients.,Has PD-L1 expression become an important basis for clinicians to plan immunotherapy for NSCLC patients?,Yes,,
16,"In non-small cell lung cancer patients with high tumor mutational burden (≥10 mutations/Mb), the CheckMate-227 trial showed that first-line nivolumab plus ipilimumab significantly prolonged progression-free survival regardless of PD-L1 expression status.",Did CheckMate-227 show first-line nivolumab plus ipilimumab prolonged progression-free survival regardless of PD-L1 in high-TMB NSCLC?,Yes,,
17,Binding of PD-L1 on tumor and some immune cells to PD-1 on recently activated T cells reduces cytokine production.,Does binding of PD-L1 on tumor and immune cells to PD-1 reduce cytokine production?,Yes,,
18,"In NSCLC patients with high tumor mutational burden, first-line nivolumab plus ipilimumab significantly prolonged progression-free survival regardless of PD-L1 expression status.",Does first-line nivolumab plus ipilimumab significantly prolong progression-free survival in high-TMB NSCLC regardless of PD-L1 status?,Yes,,
19,Elevated PD-L1 expression in many NSCLC tumors promotes immune escape.,Does elevated PD-L1 expression in many NSCLC tumors promote immune escape?,Yes,,
20,Elevated PD-L1 expression in many NSCLC tumors is associated with shorter survival.,Is elevated PD-L1 expression in many NSCLC tumors associated with shorter survival?,Yes,,
