url,hash_id
https://doi.org/10.1001/jama.1997.03550160069041,ch4-KONJDv4ksGHy
https://doi.org/10.1007/s10571-023-01365-1,D8uAg1_ib9wUHrfZ
https://doi.org/10.1016/j.immuni.2023.12.001,0sNw2dA1XsVMob1v
https://doi.org/10.1016/j.neuron.2018.05.008,ELMidApIcvBioLhD
https://doi.org/10.1016/j.smim.2022.101594,34afN03QxctyjBDD
https://doi.org/10.1038/nature11087,l00EkiyAXHS_ZDJ_
https://doi.org/10.1038/nature24016,6pT_lczT--Z2oGCu
https://doi.org/10.1038/s41586-020-2247-3,ju1t0JRbmsT-Fqk8
https://doi.org/10.1038/s41591-025-03835-z,a7dWOipH1Yjl5pbY
https://doi.org/10.1073/pnas.2635903100,BWHy_q45liGp9nL2
https://doi.org/10.1073/pnas.90.17.8098,80dGQv8JmSEdU_2k
https://doi.org/10.1073/pnas.90.5.1977,tmQYHaAN1RULVG2g
https://doi.org/10.1126/science.8346443,p4O7E83GyG_LlPH7
https://doi.org/10.1126/scitranslmed.3002156,cnIlXQrRgLr9uvCx
https://doi.org/10.1126/scitranslmed.aaz4564,waciLSClACvSOvOm
https://doi.org/10.1523/JNEUROSCI.0887-09.2009,wig6399lMkDLKcAW
https://doi.org/10.3390/ijms24010778,g96DyE85n0xkm1FQ
