id,claim,citation,question,claim_answer,paper_answer,answer_note
1,NOTCH1 is a transmembrane receptor.,,Is NOTCH1 a transmembrane receptor?,Yes,,
2,NOTCH1 functions as a ligand-activated transcription factor.,,Does NOTCH1 function as a ligand-activated transcription factor?,Yes,,
3,NOTCH1 plays a critical role in T-cell development.,,Does NOTCH1 play a critical role in T-cell development?,Yes,,
4,NOTCH1 plays a critical role in leukemogenesis.,,Does NOTCH1 play a critical role in leukemogenesis?,Yes,,
5,Activating mutations in NOTCH1 were identified in over 50% of human T-cell acute lymphoblastic leukemia (T-ALL) cases.,"(Weng et al., 2004)",Were activating NOTCH1 mutations identified in over 50% of human T-ALL cases?,Yes,Yes,
6,The activating mutations in NOTCH1 most commonly involve the heterodimerization (HD) domain.,"(Weng et al., 2004)",Do activating NOTCH1 mutations most commonly involve the heterodimerization (HD) domain?,Yes,Idk,Passage doesn't state which domain is most commonly mutated.
7,The activating mutations in NOTCH1 most commonly involve the C-terminal PEST domain.,"(Weng et al., 2004)",Do activating NOTCH1 mutations most commonly involve the C-terminal PEST domain?,Yes,Idk,Passage doesn't state which domain is most commonly mutated.
8,Activating mutations in NOTCH1 that involve the heterodimerization (HD) domain or the C-terminal PEST domain lead to ligand-independent signaling.,"(Weng et al., 2004)",Do activating NOTCH1 mutations in the HD or PEST domains lead to ligand-independent signaling?,Yes,Idk,Ligand independence not specified; only proteolysis requirement is described.
9,Activating mutations in NOTCH1 that involve the heterodimerization (HD) domain or the C-terminal PEST domain lead to increased stability of the intracellular NOTCH1 domain.,"(Weng et al., 2004)",Do activating NOTCH1 mutations in the HD or PEST domains increase intracellular NOTCH1 domain stability?,Yes,Yes,
10,The original connection between NOTCH1 and leukemia was established through characterization of the t(7;9)(q34;q34.3) chromosomal translocation.,"(Ellisen et al., 1991)",Was the original connection between NOTCH1 and leukemia established by characterizing the t(7;9)(q34;q34.3) translocation?,Yes,Yes,
11,The t(7;9)(q34;q34.3) chromosomal translocation juxtaposes a truncated NOTCH1 allele (termed TAN1) with the TCRβ locus in a subset of T-ALL patients.,"(Ellisen et al., 1991)",Does the t(7;9)(q34;q34.3) translocation juxtapose a truncated NOTCH1 allele (TAN1) with the TCRβ locus in some T-ALL patients?,Yes,Yes,
12,Oncogenic NOTCH1 signaling in T-ALL activates the downstream target MYC.,"(Palomero et al., 2006)",Does oncogenic NOTCH1 signaling in T-ALL activate MYC?,Yes,Yes,
13,Oncogenic NOTCH1 signaling in T-ALL activates the downstream PI3K-AKT pathway.,"(Palomero et al., 2006)",Does oncogenic NOTCH1 signaling in T-ALL activate the PI3K-AKT pathway?,Yes,Idk,Passage does not mention PI3K-AKT pathway.
14,Activation of downstream targets including MYC and the PI3K-AKT pathway by oncogenic NOTCH1 signaling in T-ALL promotes cell growth and survival.,"(Palomero et al., 2006)",Does activation of MYC and PI3K-AKT by oncogenic NOTCH1 promote cell growth and survival in T-ALL?,Yes,Idk,PI3K-AKT activation by NOTCH1 not described in passage.
15,Gamma-secretase inhibitors (GSIs) block proteolytic cleavage required for NOTCH1 activation.,"(Real et al., 2009)",Do gamma-secretase inhibitors block the proteolytic cleavage required for NOTCH1 activation?,Yes,Yes,
16,Gamma-secretase inhibitors (GSIs) have demonstrated anti-leukemic effects in T-ALL cell lines and preclinical models.,"(Real et al., 2009)",Have gamma-secretase inhibitors demonstrated anti-leukemic effects in T-ALL cell lines and preclinical models?,Yes,Yes,
17,Gastrointestinal toxicity has limited clinical application of gamma-secretase inhibitors (GSIs).,"(Real et al., 2009)",Has gastrointestinal toxicity limited clinical application of gamma-secretase inhibitors?,Yes,Yes,
18,FBXW7 normally targets NOTCH1 for proteasomal degradation.,"(Thompson et al., 2007)",Does FBXW7 normally target NOTCH1 for proteasomal degradation?,Yes,Yes,
19,Loss-of-function mutations in FBXW7 represent an additional mechanism of aberrant NOTCH1 activation in T-ALL.,"(Thompson et al., 2007)",Do loss-of-function FBXW7 mutations provide an additional mechanism of aberrant NOTCH1 activation in T-ALL?,Yes,Yes,
