id,claim,citation,question,claim_answer,paper_answer,answer_note
1,The apolipoprotein E ε4 (APOE4) allele is the strongest known genetic risk factor for late-onset Alzheimer's disease.,"(Farrer et al., 1997)",Is the APOE4 allele the strongest known genetic risk factor for late-onset Alzheimer's disease?,Yes,Yes,
2,Heterozygous carriers of the APOE4 allele face approximately three-fold increased risk of late-onset Alzheimer's disease compared to APOE3 homozygotes.,"(Farrer et al., 1997)",Do heterozygous APOE4 carriers have about a three-fold increased risk of late-onset Alzheimer's disease versus APOE3 homozygotes?,Yes,Yes,
3,Homozygous carriers of the APOE4 allele face approximately 12-fold increased risk of late-onset Alzheimer's disease compared to APOE3 homozygotes.,"(Farrer et al., 1997)",Do homozygous APOE4 carriers have about a 12-fold increased risk of late-onset Alzheimer's disease versus APOE3 homozygotes?,Yes,Yes,
4,The APOE4 allele is associated with earlier onset of Alzheimer's disease symptoms in a dose-dependent manner.,"(Corder et al., 1993)",Is the APOE4 allele associated with earlier Alzheimer's symptom onset in a dose-dependent manner?,Yes,Yes,
5,The APOE4 allele promotes amyloid-β (Aβ) aggregation.,"(Castellano et al., 2011)",Does the APOE4 allele promote amyloid-β aggregation?,Yes,Yes,
6,The APOE4 allele impairs clearance of amyloid-β (Aβ) from the brain.,"(Castellano et al., 2011)",Does the APOE4 allele impair clearance of amyloid-β from the brain?,Yes,Yes,
7,Promotion of amyloid-β aggregation and impaired clearance of amyloid-β from the brain by the APOE4 allele leads to increased amyloid plaque burden.,"(Castellano et al., 2011)",Does APOE4 promotion of amyloid-β aggregation and impaired clearance lead to increased amyloid plaque burden?,Yes,Idk,Aggregation role suggested in vitro but not confirmed in vivo
8,The APOE4 allele contributes to blood-brain barrier dysfunction.,"(Bell et al., 2012)",Does the APOE4 allele contribute to blood-brain barrier dysfunction?,Yes,Yes,
9,The APOE4 allele contributes to cerebrovascular impairment.,"(Bell et al., 2012)",Does the APOE4 allele contribute to cerebrovascular impairment?,Yes,Yes,
10,Blood-brain barrier dysfunction and cerebrovascular impairment may independently accelerate neurodegeneration.,"(Bell et al., 2012)",Can blood-brain barrier dysfunction and cerebrovascular impairment independently accelerate neurodegeneration?,Yes,Idk,Passage shows vascular defects can initiate neurodegeneration but not independent effects.
11,The APOE4 allele is associated with increased neuroinflammation.,"(Rodriguez et al., 2014)",Is the APOE4 allele associated with increased neuroinflammation?,Yes,,
12,The APOE4 allele is associated with enhanced microglial activation.,"(Rodriguez et al., 2014)",Is the APOE4 allele associated with enhanced microglial activation?,Yes,,
13,The APOE4 allele is associated with increased proinflammatory cytokine release.,"(Rodriguez et al., 2014)",Is the APOE4 allele associated with increased proinflammatory cytokine release?,Yes,,
14,Carriers of the APOE4 allele exhibit reduced cerebral glucose metabolism in Alzheimer's-disease-vulnerable brain regions even prior to cognitive decline.,"(Reiman et al., 2004)",Do APOE4 carriers exhibit reduced cerebral glucose metabolism in Alzheimer's-vulnerable regions before cognitive decline?,Yes,Yes,
15,The reduced cerebral glucose metabolism in Alzheimer's-disease-vulnerable brain regions in carriers of the APOE4 allele even prior to cognitive decline suggests early metabolic disruption.,"(Reiman et al., 2004)",Does reduced cerebral glucose metabolism in those regions in APOE4 carriers prior to cognitive decline suggest early metabolic disruption?,Yes,Yes,
16,The APOE4 allele impairs synaptic plasticity through disrupted lipid transport and cholesterol homeostasis in neurons.,"(Ji et al., 2003)",Does the APOE4 allele impair synaptic plasticity via disrupted lipid transport and neuronal cholesterol homeostasis?,Yes,,
17,The APOE4 allele impairs dendritic spine maintenance through disrupted lipid transport and cholesterol homeostasis in neurons.,"(Ji et al., 2003)",Does the APOE4 allele impair dendritic spine maintenance via disrupted lipid transport and neuronal cholesterol homeostasis?,Yes,,
