id,claim,citation,question,claim_answer,paper_answer,answer_note
1,APOE4 is the strongest genetic risk factor for late-onset Alzheimer’s disease.,[1];[2];[3],Is APOE4 the strongest genetic risk factor for late-onset Alzheimer's disease?,Yes,Yes,
2,APOE4 modulates lipid metabolism.,[3];[4],Does APOE4 modulate lipid metabolism?,Yes,Yes,
3,APOE4 modulates glial innate immune responses.,[3];[4];[5],Does APOE4 modulate glial innate immune responses?,Yes,Yes,
4,APOE4 translocates to the nucleus to regulate genes for Aβ and inflammation.,[1],Does APOE4 translocate to the nucleus to regulate genes for Aβ and inflammation?,Yes,Yes,
5,APOE4 interacts with mitochondria.,[1],Does APOE4 interact with mitochondria?,Yes,Yes,
6,APOE4 causes mitochondrial dysfunction characterized by increased Ca2+ and reactive oxygen species.,[1],Does APOE4 cause mitochondrial dysfunction with increased Ca2+ and reactive oxygen species?,Yes,Yes,
7,The mitochondrial dysfunction relates to neurodegeneration.,[1],Does this mitochondrial dysfunction relate to neurodegeneration?,Yes,Yes,
8,"In neurons, APOE4 increased synapse number.",[4],Does APOE4 increase synapse number in neurons?,Yes,Yes,
9,"In neurons, APOE4 elevated Aβ42 secretion.",[4],Does APOE4 elevate Aβ42 secretion in neurons?,Yes,Yes,
10,"In astrocytes, APOE4 impaired Aβ uptake.",[4],Does APOE4 impair Aβ uptake in astrocytes?,Yes,Yes,
11,"In astrocytes, APOE4 caused cholesterol accumulation.",[4],Does APOE4 cause cholesterol accumulation in astrocytes?,Yes,Yes,
12,APOE4 in microglia-like cells altered morphology.,[4],Does APOE4 alter morphology in microglia-like cells?,Yes,Yes,
13,The altered morphology of microglia-like cells induced by APOE4 correlated with reduced Aβ phagocytosis.,[4],Does APOE4-induced altered microglial morphology correlate with reduced Aβ phagocytosis?,Yes,Yes,
14,APOE4 is associated with increased age-dependent terminally inflammatory microglia (TIMs) in AD models.,[5],Is APOE4 associated with increased age-dependent terminally inflammatory microglia (TIMs) in AD models?,Yes,Yes,
15,TIMs concomitantly express inflammatory and cell-intrinsic stress markers.,[5],Do TIMs concomitantly express inflammatory and cell-intrinsic stress markers?,Yes,Yes,
16,"TIMs shift toward stress-marker–high, effector-lo states.",[5],"Do TIMs shift toward stress-marker–high, effector-low states?",Yes,Yes,
17,The defective amyloid-β clearance suggests contribution to AD risk.,[5],Does defective amyloid-β clearance suggest it contributes to AD risk?,Yes,Yes,
18,ApoE4 is associated with faster progression of Alzheimer's disease.,[2];[3],Is ApoE4 associated with faster progression of Alzheimer's disease?,Yes,Yes,
19,ApoE4 can initiate Aβ accumulation.,[2],Can ApoE4 initiate Aβ accumulation?,Yes,Yes,
20,ApoE4 can accelerate Aβ accumulation.,[2],Can ApoE4 accelerate Aβ accumulation?,Yes,Yes,
21,ApoE4 can increase Aβ oligomers.,[2],Can ApoE4 increase Aβ oligomers?,Yes,Yes,
22,ApoE4 affects tau phosphorylation.,[2],Does ApoE4 affect tau phosphorylation?,Yes,Yes,
23,Therapeutic targeting of ApoE4 can slow AD progression.,[2],Can therapeutic targeting of ApoE4 slow AD progression?,Yes,Yes,
24,APOE4 associates with earlier amyloid-β deposition in AD.,[3],Is APOE4 associated with earlier amyloid-β deposition in Alzheimer's disease?,Yes,Yes,
25,APOE4 associates with increased medial temporal tau in AD.,[3],Is APOE4 associated with increased medial temporal tau in Alzheimer's disease?,Yes,Yes,
26,APOE4 associates with increased CSF tau in AD.,[3],Is APOE4 associated with increased CSF tau in Alzheimer's disease?,Yes,Yes,
