id,claim,citation,question,claim_answer,paper_answer,answer_note
1,The APOE ε4 allele encodes the apoE4 protein isoform.,,Does the APOE ε4 allele encode the apoE4 protein isoform?,Yes,,
2,The APOE ε4 allele is associated with increased risk of late-onset Alzheimer’s disease (AD) in family-based analyses.,"(Corder et al., 1993)",Is the APOE ε4 allele associated with increased late-onset Alzheimer's disease risk in family-based analyses?,Yes,Yes,
3,The APOE ε4 allele is associated with earlier age at onset of late-onset Alzheimer’s disease (AD) in family-based analyses.,"(Corder et al., 1993)",Is the APOE ε4 allele associated with earlier age at onset of late-onset Alzheimer's disease in family-based analyses?,Yes,Yes,
4,Family-based analyses showed a gene-dose relationship between ε4 copy number and AD risk.,"(Corder et al., 1993)",Did family-based analyses show a gene-dose relationship between ε4 copy number and Alzheimer's disease risk?,Yes,Yes,
5,Family-based analyses showed a gene-dose relationship between ε4 copy number and mean onset age.,"(Corder et al., 1993)",Did family-based analyses show a gene-dose relationship between ε4 copy number and mean onset age?,Yes,Yes,
6,"In late-onset familial AD, ε4 was reported at increased frequency relative to controls.","(Strittmatter et al., 1993a)",Was APOE ε4 reported at increased frequency in late-onset familial Alzheimer's disease compared to controls?,Yes,Yes,
7,"The study by Strittmatter et al., 1993a demonstrated high-avidity binding of apolipoprotein E to synthetic β-amyloid (Aβ) in vitro.","(Strittmatter et al., 1993a)",Did Strittmatter et al. (1993a) demonstrate high-avidity binding of apolipoprotein E to synthetic β-amyloid in vitro?,Yes,Idk,Passage does not name Strittmatter et al. or 1993a as the authors
8,A separate in vitro study reported isoform-specific effects of apoE binding to synthetic Aβ peptide.,"(Strittmatter et al., 1993b)",Did a separate in vitro study report isoform-specific effects of apoE binding to synthetic Aβ peptide?,Yes,Idk,Passage does not mention a separate in vitro study reporting that result.
9,Metabolic labeling studies measuring Aβ kinetics in vivo in humans reported that apoE isoforms differentially regulate brain Aβ clearance.,"(Castellano et al., 2011)",Did metabolic labeling studies in humans report that apoE isoforms differentially regulate brain Aβ clearance?,Yes,No,Human labeling found impaired Aβ clearance but did not assess APOE genotype.
10,The metabolic labeling studies interpreted their findings as evidence that APOE alleles can influence AD risk via differential Aβ clearance.,"(Castellano et al., 2011)",Did the metabolic labeling studies interpret their findings as evidence that APOE alleles can influence AD risk via differential Aβ clearance?,Yes,No,"Study didn't assess APOE genotype, so didn't interpret APOE alleles' role."
11,"In a PDAPP transgenic mouse model expressing human APOE isoforms, apoE isoform–dependent differences in brain Aβ levels were reported.","(Bales et al., 2009)","In PDAPP transgenic mice expressing human APOE isoforms, were apoE isoform–dependent differences in brain Aβ levels reported?",Yes,Yes,
12,"In living human APOE4 carriers, neuroimaging and cerebrospinal fluid measures were used to report that APOE4 is associated with blood–brain barrier dysfunction.","(Montagne et al., 2020)",Did neuroimaging and cerebrospinal fluid measures in living human APOE4 carriers report APOE4 association with blood–brain barrier dysfunction?,Yes,Yes,
13,"In the studied cohort, the blood–brain barrier dysfunction predicted cognitive decline independent of amyloid-β and tau status.","(Montagne et al., 2020)","In the studied cohort, did blood–brain barrier dysfunction predict cognitive decline independent of amyloid-β and tau status?",Yes,Yes,
